time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
300.0,E0_4100m,37.8516768,37.8516768,E,E,4100
300.0,E0_4200m,37.7229296,37.7229296,E,E,4200
300.0,E0_4300m,37.7551164,37.7551164,E,E,4300
300.0,E0_4400m,37.7068362,37.7068362,E,E,4400
300.0,E0_4500m,37.610275800000004,37.610275800000004,E,E,4500
300.0,E0_4600m,37.513715399999995,37.513715399999995,E,E,4600
300.0,E0_4700m,37.2884078,37.2884078,E,E,4700
300.0,E0_4800m,37.079193599999996,37.079193599999996,E,E,4800
300.0,E0_4900m,36.9665398,36.9665398,E,E,4900
600.0,E0_0m,34.8904912,34.5042496,D,D,0
600.0,E0_100m,35.3411064,35.1157988,E,E,100
600.0,E0_200m,35.389386599999995,35.1962658,E,E,200
600.0,E0_300m,35.40548,35.325013,E,E,300
600.0,E0_400m,35.614694199999995,35.4698536,E,E,400
600.0,E0_500m,35.679067800000006,35.5825074,E,E,500
600.0,E0_600m,35.888282000000004,35.711254600000004,E,E,600
600.0,E0_700m,36.0814028,35.9365622,E,E,700
600.0,E0_800m,36.290617,36.1618698,E,E,800
600.0,E0_900m,36.4032708,36.2584302,E,E,900
600.0,E0_1000m,36.4998312,36.3871774,E,E,1000
600.0,E0_1100m,36.5802982,36.4032708,E,E,1100
600.0,E0_1200m,36.676858599999996,36.532018,E,E,1200
600.0,E0_1300m,36.9182596,36.7412322,E,E,1300
600.0,E0_1400m,36.9826332,36.8699794,E,E,1400
600.0,E0_1500m,37.0309134,36.9665398,E,E,1500
600.0,E0_1600m,37.111380399999994,36.9987266,E,E,1600
600.0,E0_1700m,37.1435672,37.095287,E,E,1700
600.0,E0_1800m,37.256221,37.2401276,E,E,1800
600.0,E0_1900m,37.417155,37.433248400000004,E,E,1900
600.0,E0_2000m,37.5941824,37.5298088,E,E,2000
600.0,E0_2100m,37.658556,37.6263692,E,E,2100
600.0,E0_2200m,37.6907428,37.610275800000004,E,E,2200
600.0,E0_2300m,37.7229296,37.6424626,E,E,2300
600.0,E0_2400m,37.739022999999996,37.497622,E,E,2400
600.0,E0_2500m,37.916050399999996,37.497622,E,E,2500
600.0,E0_2600m,38.2701052,37.5619956,E,E,2600
600.0,E0_2700m,38.6885336,37.5298088,E,E,2700
600.0,E0_2800m,39.412736599999995,37.497622,E,E,2800
600.0,E0_2900m,40.6680218,37.4654352,E,E,2900
600.0,E0_3000m,41.8911202,37.417155,E,E,3000
600.0,E0_3100m,41.7462796,37.3849682,E,E,3100
600.0,E0_3200m,41.601439,37.433248400000004,E,E,3200
600.0,E0_3300m,41.456598400000004,37.433248400000004,E,E,3300
600.0,E0_3400m,41.3117578,37.336687999999995,E,E,3400
600.0,E0_3500m,41.2634776,37.3045012,E,E,3500
600.0,E0_3600m,41.134730399999995,37.2723144,E,E,3600
600.0,E0_3700m,41.2151974,37.3527814,E,E,3700
600.0,E0_3800m,40.9416096,37.3527814,E,E,3800
600.0,E0_3900m,39.9760056,37.2723144,E,E,3900
600.0,E0_4000m,35.9204688,37.2723144,E,E,4000
600.0,E0_4100m,34.6329968,37.3527814,D,E,4100
600.0,E0_4200m,34.761744,37.4654352,D,E,4200
600.0,E0_4300m,34.8904912,37.4493418,D,E,4300
600.0,E0_4400m,35.1157988,37.4654352,E,E,4400
