Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
590.0,f_0.220,-4.819217960645901,62.52931762444788,84.63656945182758,base,20270
590.1,f_0.220,-4.651770773657198,61.4887444130054,87.38535772567514,base,20270
1083.4,f_0.397,-4.968142897518035,51.42530807625747,2245.0078324784017,base,20270
1083.5,f_0.397,-4.671953965789122,50.380220005834246,2247.2600261003063,base,20270
1189.1,f_0.464,-4.543878287570102,52.8311209729603,44.20898957780503,base,20270
1417.0,f_0.552,-4.586860442422918,64.09443371455609,54.31392045182615,base,20270
1554.7,f_0.593,-4.864539561772574,64.88844027484744,87.74709218092141,base,20270
1554.8,f_0.593,-4.724481295320366,63.83160215597205,90.60061539370191,base,20270
1554.9,f_0.593,-4.565673999413882,62.81028827634716,93.40848186648827,base,20270
1662.5,f_0.627,-4.695060757195186,60.79759971377999,49.35902586012502,base,20270
1662.6,f_0.627,-4.532691802979585,59.78366375360427,52.03159033452327,base,20270
1987.7,f_0.749,-5.372905436895934,51.36076140908105,30.163838210681526,base,20270
1987.8,f_0.749,-5.119884831536332,50.215473891575364,32.40866703450225,base,20270
1987.9,f_0.749,-4.863217504814621,49.12760131505336,34.60486368327483,base,20270
1988.0,f_0.749,-4.663108092007064,48.084492013519935,36.75442925112734,base,20270
2073.3,f_0.777,-4.704768641779644,58.70656591829487,43.033036153560985,base,20270
2073.4,f_0.777,-4.520023780189568,57.695463718809144,45.61224988834194,base,20270
2562.3,f_0.940,-5.054277741377433,54.06782903272032,38.08076484321307,base,20270
2562.4,f_0.940,-4.842946643417996,52.984490926267576,40.449379599365116,base,20270
2562.5,f_0.940,-4.641585265629544,51.94619615185784,42.77157850286087,base,20270
2965.9,f_0.1102,-5.070180275092007,64.4244346817428,71.9833630042075,base,20270
2966.0,f_0.1102,-4.884471675373483,63.3318076747918,74.8145434415367,base,20270
2966.1,f_0.1102,-4.706765009183194,62.27893258282757,77.59865622877406,base,20270
2966.2,f_0.1102,-4.53672099663688,61.26409531620588,80.33740180604507,base,20270
2994.6,f_0.1114,-4.657889182367718,52.200536334559445,71.46959126727636,base,20270
3244.1,f_0.1193,-4.856506611807561,61.97237889475833,82.1138640811086,base,20270
3244.2,f_0.1193,-4.686146954592623,60.92411593789768,84.8374112454446,base,20270
3244.3,f_0.1193,-4.522492813436436,59.91246143048883,87.51573348164624,base,20270
3368.9,f_0.1233,-4.596353767707164,61.38715274515935,56.077077345318834,base,20270
4066.4,f_0.1464,-4.917516583027428,53.95843397807627,41.00550457180374,base,20270
4066.5,f_0.1464,-4.716974528635198,52.90327507786775,43.370488660687116,base,20270
4066.6,f_0.1464,-4.525654134952575,51.89091340180367,45.69021620822097,base,20270
4289.9,f_0.1548,-4.883419845379926,54.11304830416759,35.55729483494741,base,20270
4290.0,f_0.1548,-4.686191911400144,53.064775290738844,37.929498617379615,base,20270
5105.2,f_0.1867,-4.500000000000028,71.90174917942518,348.471184610992,base,20270
6873.6,f_0.2476,-5.01134128634952,60.83883982125133,69.68688663150797,base,20270
6873.7,f_0.2476,-4.82664876123323,59.75914745325602,72.35835513103214,base,20270
6873.8,f_0.2476,-4.649604010213615,58.719058933795296,74.98332759045418,base,20270
7044.2,f_1.2380,-4.775812967383111,53.617225904216184,2506.773757925104,base,20270
7044.3,f_1.2380,-4.536154382014708,52.60251538588579,2509.1252968750036,base,20270
7183.5,f_0.2520,-5.037871022591531,58.15951407001965,94.40202149565762,base,20270
7183.6,f_0.2520,-4.782011979106109,57.089806682365484,96.95415998316133,base,20270
7183.7,f_0.2520,-4.632427641541419,56.05356041351852,99.45997419424963,base,20270
7604.5,f_0.2732,-5.025649372864933,55.50845798372127,84.99021182049697,base,20270
7604.6,f_0.2732,-4.845936150710308,54.424451142424275,87.42319845144927,base,20270
7604.7,f_0.2732,-4.660324164658185,53.38196458873523,89.80958184075499,base,20270
