Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
600.2,f_0.53,-8.999999999999986,64.56622950844248,3411.141814516591,attack,2606
600.2,f_0.54,-8.999999999999986,78.58467526889982,3818.3500243090493,attack,2606
600.2,f_1.70,-8.999999999999986,69.09350885633991,3189.461861325251,attack,2606
600.3,f_0.53,-8.999999999999986,62.55298350844249,3413.938178456099,attack,2606
600.3,f_0.54,-8.999999999999986,76.57142926889982,3821.7730678090493,attack,2606
600.3,f_0.56,-8.999999999999986,65.22284880755991,3002.9569369934698,attack,2606
600.3,f_1.70,-8.999999999999986,67.08026285633991,3192.460612425251,attack,2606
600.4,f_0.53,-8.999999999999986,60.539737508442485,3416.644542395608,attack,2606
600.4,f_0.54,-8.999999999999986,74.55818326889981,3825.106111309049,attack,2606
600.4,f_0.56,-8.999999999999986,63.20960280755992,3005.78265439347,attack,2606
600.4,f_1.70,-8.999999999999986,65.06701685633992,3195.3693635252507,attack,2606
600.5,f_0.53,-8.999999999999986,58.52649150844249,3419.2609063351165,attack,2606
600.5,f_0.54,-8.999999999999986,72.54493726889982,3828.349154809049,attack,2606
600.5,f_0.56,-8.999999999999986,61.196356807559916,3008.5183717934697,attack,2606
600.5,f_1.70,-8.999999999999986,63.053770856339916,3198.188114625251,attack,2606
600.6,f_0.53,-8.999999999999986,56.513245508442495,3421.787270274625,attack,2606
600.6,f_0.54,-8.999999999999986,70.53169126889982,3831.502198309049,attack,2606
600.6,f_0.56,-8.999999999999986,59.18311080755992,3011.16408919347,attack,2606
600.6,f_1.70,-8.999999999999986,61.04052485633992,3200.916865725251,attack,2606
600.7,f_0.53,-8.999999999999986,54.4999995084425,3424.2236342141337,attack,2606
600.7,f_0.54,-8.999999999999986,68.51844526889982,3834.565241809049,attack,2606
600.7,f_0.56,-8.999999999999986,57.169864807559925,3013.71980659347,attack,2606
600.7,f_1.70,-8.999999999999986,59.027278856339926,3203.5556168252506,attack,2606
600.8,f_0.53,-8.999999999999986,52.4867535084425,3426.5699981536422,attack,2606
600.8,f_0.54,-8.999999999999986,66.50519926889983,3837.538285309049,attack,2606
600.8,f_0.56,-8.999999999999986,55.15661880755993,3016.18552399347,attack,2606
600.8,f_1.70,-8.999999999999986,57.01403285633993,3206.1043679252507,attack,2606
600.9,f_0.53,-8.999999999999986,50.4735075084425,3428.8263620931507,attack,2606
600.9,f_0.54,-8.999999999999986,64.49195326889983,3840.421328809049,attack,2606
600.9,f_0.56,-8.999999999999986,53.14337280755993,3018.56124139347,attack,2606
600.9,f_1.70,-8.999999999999986,55.00078685633993,3208.5631190252507,attack,2606
601.0,f_0.54,-8.999999999999986,62.47870726889983,3843.214372309049,attack,2606
601.0,f_0.56,-8.999999999999986,51.13012680755993,3020.84695879347,attack,2606
601.0,f_1.70,-8.999999999999986,52.98754085633993,3210.9318701252505,attack,2606
601.1,f_0.54,-8.999999999999986,60.46546126889984,3845.917415809049,attack,2606
601.1,f_0.56,-5.051739999999683,50.00008288,3023.08215879347,attack,2606
601.1,f_1.70,-8.999999999999986,50.97429485633994,3213.2106212252506,attack,2606
601.2,f_0.54,-8.999999999999986,58.45221526889984,3848.530459309049,attack,2606
601.3,f_0.54,-8.999999999999986,56.43896926889985,3851.053502809049,attack,2606
601.4,f_0.54,-8.999999999999986,54.425723268899844,3853.486546309049,attack,2606
601.5,f_0.54,-8.999999999999986,52.41247726889985,3855.829589809049,attack,2606
601.6,f_0.54,-8.999999999999986,50.399231268899854,3858.082633309049,attack,2606
610.3,f_1.73,-8.999999999999986,65.34883774224001,3004.3142015999406,attack,2606
610.4,f_1.73,-8.999999999999986,63.33559174224001,3007.1455511999407,attack,2606
610.5,f_1.73,-8.999999999999986,61.32234574224002,3009.8869007999406,attack,2606
610.6,f_1.73,-8.999999999999986,59.30909974224002,3012.5382503999404,attack,2606
610.7,f_1.73,-8.999999999999986,57.29585374224002,3015.0995999999404,attack,2606
610.8,f_1.73,-8.999999999999986,55.282607742240025,3017.5709495999404,attack,2606
610.9,f_1.73,-8.999999999999986,53.26936174224003,3019.95229919994,attack,2606
611.0,f_1.73,-8.999999999999986,51.256115742240034,3022.2436487999403,attack,2606
611.1,f_1.73,-5.614960000000124,50.00008288,3024.4788487999404,attack,2606
612.6,f_1.72,-8.999999999999986,54.803166154751466,3002.5292548349753,attack,2606
612.7,f_1.72,-8.999999999999986,52.78992015475147,3004.8891715137756,attack,2606
612.8,f_1.72,-8.999999999999986,50.77667415475147,3007.159088192576,attack,2606
618.1,f_0.61,-8.999999999999986,66.36121127389302,3003.7974661721823,attack,2606
618.2,f_0.61,-8.999999999999986,64.34796527389302,3006.6740728435234,attack,2606
618.3,f_0.61,-8.999999999999986,62.33471927389302,3009.4606795148643,attack,2606
618.4,f_0.61,-8.999999999999986,60.32147327389303,3012.157286186205,attack,2606
618.5,f_0.61,-8.999999999999986,58.30822727389303,3014.763892857546,attack,2606
618.6,f_0.61,-8.999999999999986,56.294981273893036,3017.280499528887,attack,2606
618.7,f_0.61,-8.999999999999986,54.281735273893034,3019.707106200228,attack,2606
618.7,f_0.62,-4.510675279540877,67.03873552349384,2960.055869041748,attack,2606
618.8,f_0.61,-8.999999999999986,52.26848927389304,3022.043712871569,attack,2606
618.8,f_0.62,-4.5831880415027015,66.01350385773793,2963.0069318265223,attack,2606
618.9,f_0.61,-8.999999999999986,50.25524327389304,3024.29031954291,attack,2606
618.9,f_0.62,-4.6570781679074,64.97174341404606,2965.911423829618,attack,2606
619.0,f_0.62,-4.732306185384907,63.91315491421257,2968.7685927708594,attack,2606
619.1,f_0.62,-4.63087664500943,62.877255593983826,2971.579452945651,attack,2606
619.2,f_0.62,-4.506506507934134,61.86917712719801,2974.3452480553633,attack,2606
620.8,f_0.60,-8.999999999999986,52.00506908590286,3002.8021913243224,attack,2606
620.9,f_0.60,-8.96307547767421,50.00008288,3005.0373913243225,attack,2606
626.9,f_1.75,-8.999999999999986,75.02898755681981,3005.7336915328415,attack,2606
627.0,f_1.75,-8.999999999999986,73.01574155681982,3008.9977818328416,attack,2606
627.1,f_1.75,-8.999999999999986,71.00249555681982,3012.1718721328416,attack,2606
627.2,f_1.75,-8.999999999999986,68.98924955681983,3015.2559624328414,attack,2606
627.3,f_1.75,-8.999999999999986,66.97600355681983,3018.2500527328416,attack,2606
627.4,f_1.75,-8.999999999999986,64.96275755681982,3021.1541430328416,attack,2606
627.5,f_1.75,-8.999999999999986,62.949511556819836,3023.9682333328415,attack,2606
627.6,f_1.75,-8.999999999999986,60.93626555681983,3026.6923236328416,attack,2606
627.7,f_1.75,-8.999999999999986,58.92301955681984,3029.3264139328417,attack,2606
627.8,f_1.75,-8.999999999999986,56.90977355681984,3031.8705042328415,attack,2606
627.9,f_1.75,-8.999999999999986,54.89652755681985,3034.3245945328417,attack,2606
628.0,f_1.75,-8.999999999999986,52.883281556819846,3036.688684832842,attack,2606
628.1,f_1.75,-8.999999999999986,50.87003555681985,3038.9627751328417,attack,2606
638.9,f_0.63,-8.999999999999986,67.04968836041992,3004.196215549819,attack,2606
639.0,f_0.63,-8.999999999999986,65.03644236041991,3007.103599849819,attack,2606
639.1,f_0.63,-8.999999999999986,63.023196360419924,3009.920984149819,attack,2606
639.2,f_0.63,-8.999999999999986,61.00995036041992,3012.648368449819,attack,2606
639.3,f_0.63,-8.999999999999986,58.996704360419926,3015.285752749819,attack,2606
639.4,f_0.63,-8.999999999999986,56.98345836041993,3017.833137049819,attack,2606
639.5,f_0.63,-8.999999999999986,54.970212360419936,3020.290521349819,attack,2606
639.6,f_0.63,-8.999999999999986,52.95696636041993,3022.657905649819,attack,2606
639.7,f_0.63,-8.999999999999986,50.94372036041994,3024.935289949819,attack,2606
650.5,f_0.65,-8.999999999999986,65.74080331679991,3004.8747791390065,attack,2606
650.6,f_0.65,-8.999999999999986,63.72755731679991,3007.7236511390065,attack,2606
650.7,f_0.65,-8.999999999999986,61.714311316799915,3010.4825231390064,attack,2606
650.8,f_0.65,-8.999999999999986,59.70106531679992,3013.1513951390066,attack,2606
650.9,f_0.65,-8.999999999999986,57.68781931679992,3015.7302671390066,attack,2606
651.0,f_0.65,-8.999999999999986,55.67457331679992,3018.2191391390065,attack,2606
