Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
304.1,f_0.95,-4.852368230251649,57.96533293942617,50.72116388007569,base,14194
304.2,f_0.95,-4.683259536369029,56.917715880697635,53.26560923313378,base,14194
304.3,f_0.95,-4.507084729118418,55.90950806930222,55.76498373890069,base,14194
415.2,f_0.122,-5.003505509823505,56.75760540346342,139.52396604630266,base,14194
415.3,f_0.122,-4.842912787213969,55.67427487044038,142.01282470457872,base,14194
415.4,f_0.122,-4.6260992276166135,54.63944422981791,144.45542237057862,base,14194
476.5,f_0.140,-5.212115196878138,57.89002213923726,37.43326194081767,base,14194
476.6,f_0.140,-4.986543562108601,56.77456226365494,39.97130776518735,base,14194
476.7,f_0.140,-4.790461779893107,55.702964706263536,42.46144897175809,base,14194
476.8,f_0.140,-4.594178830833577,54.675274466879046,44.905648390020495,base,14194
525.2,f_0.157,-4.908029970279664,54.20627123634332,78.97716625597876,base,14194
525.3,f_0.157,-4.670115818275065,53.1615943484901,81.35369823039426,base,14194
525.4,f_0.157,-4.519800849316411,52.15054201730311,83.6850321963166,base,14194
640.1,f_0.208,-5.408115368616855,52.595907994673915,27.953841391642342,base,14194
640.2,f_0.208,-5.168981051197257,51.4396379474074,30.253395154702925,base,14194
640.3,f_0.208,-4.948000972158759,50.332799817941314,32.50346890804192,base,14194
640.4,f_0.208,-4.737334987741164,49.273086405193546,34.7061693115035,base,14194
640.5,f_0.208,-4.5365809448164995,48.25828046732376,36.86350390551692,base,14194
783.5,f_0.260,-5.198487508618435,56.16338329208712,52.02144327173425,base,14194
783.6,f_0.260,-4.983346574094831,55.048638563541544,54.48233353090712,base,14194
783.7,f_0.260,-4.778245220701258,53.979773777142,56.895441337872974,base,14194
783.8,f_0.260,-4.582763348829673,52.9546371125889,59.262721511350534,base,14194
1118.3,f_0.381,-4.645841803865345,60.153663511565334,142.52617265305685,base,14194
1236.0,f_0.442,-4.652878606115998,57.59931549117327,75.07752767427321,base,14194
1486.2,f_0.529,-5.1638604658182885,57.546050842172235,77.20883539236024,base,14194
1486.3,f_0.529,-4.952094859248248,56.43829693472756,79.73184883638322,base,14194
1486.4,f_0.529,-4.79221349846636,55.36630752840163,82.20694014542153,base,14194
1486.5,f_0.529,-4.571549734489047,54.34367928209483,84.63631595711495,base,14194
1811.6,f_0.653,-5.107036805784517,65.4726322847928,93.86613890377134,base,14194
1811.7,f_0.653,-4.927653346759264,64.37034579704282,96.74374607236071,base,14194
1811.8,f_0.653,-4.749776192832478,63.30784936136335,99.57385547902174,base,14194
1811.9,f_0.653,-4.588426158718555,62.28144596021497,102.35808062409559,base,14194
1902.4,f_0.682,-4.8915659705202685,52.49436806979045,39.66802178789242,base,14194
1902.5,f_0.682,-4.687591821212607,51.44578190493611,41.96785020997509,base,14194
2298.1,f_0.819,-4.644042650733482,52.257621856517375,25.059049826509924,base,14194
2586.1,f_0.912,-4.641149315534143,52.13270018601701,40.94349242911003,base,14194
2668.2,f_0.933,-4.565546548464958,62.59274266160881,157.3801392887623,base,14194
3032.8,f_0.1077,-4.831146466404093,63.74825085561759,62.01064351383102,base,14194
3032.9,f_0.1077,-4.666783118184057,62.70431947277852,64.81377276507507,base,14194
3033.0,f_0.1077,-4.5299814820464235,61.69098979513363,67.57160220149865,base,14194
3211.4,f_0.1137,-4.830149218302147,55.9998984160977,136.04793800677993,base,14194
3211.5,f_0.1137,-4.658287715969074,54.95786740376171,138.50477043875225,base,14194
4220.8,f_0.1481,-4.994317915791413,63.245549404170774,129.35774891087235,base,14194
4220.9,f_0.1481,-4.811734363708311,62.169193297415404,132.13695592122647,base,14194
4221.0,f_0.1481,-4.636953846549119,61.13193454366545,134.8697933931151,base,14194
4313.0,f_0.1513,-5.1914582406287835,59.64333573529289,121.20200668883405,base,14194
4313.1,f_0.1513,-5.010077899084457,58.52261136973509,123.81819717090934,base,14194
4313.2,f_0.1513,-4.781867839194582,57.452936225314296,126.38656897459269,base,14194
4313.3,f_0.1513,-4.637315715260897,56.41559652370472,128.90856762112344,base,14194
4422.4,f_0.1538,-4.893837289157652,57.300579435100005,42.47097249459647,base,14194
4422.5,f_0.1538,-4.715282966667829,56.24579892715421,44.985380521953225,base,14194
4422.6,f_0.1538,-4.512432447118151,55.23639486332856,47.4546642248388,base,14194
4829.7,f_0.1679,-4.921183188029907,49.69035521340204,44.9628576116651,base,14194
4829.8,f_0.1679,-4.712506875212874,48.636195700458174,47.13708650025658,base,14194
4974.2,f_0.1727,-4.584748241510788,56.85654249020984,54.890005559348424,base,14194
5913.1,f_0.2061,-5.024269933915662,55.15244692924267,48.560271472790674,base,14194
5913.2,f_0.2061,-4.819520553192795,54.074349098616764,50.97760716791959,base,14194
5913.3,f_0.2061,-4.62417747808221,53.039948341834645,53.34870108826768,base,14194
6407.3,f_0.2234,-4.93954608017301,52.310774076936035,32.54241949196469,base,14194
6407.4,f_0.2234,-4.720565893457724,51.2548118099649,34.83371080107288,base,14194
6407.5,f_0.2234,-4.5213067665073225,50.24342261413781,37.079789042516005,base,14194
6627.4,f_0.2321,-5.213963667355657,57.24202378839984,58.36872643389605,base,14194
6627.5,f_0.2321,-5.027718947282125,56.11735322620652,60.877392434155624,base,14194
6627.6,f_0.2321,-4.831384166687833,55.03660157642345,63.33774459274832,base,14194
6627.7,f_0.2321,-4.60170360046547,54.007228091220924,65.75207971533636,base,14194
6949.7,f_0.2461,-4.68747309920392,52.685487881838014,30.694354041031946,base,14194
6949.8,f_0.2461,-4.503762819904402,51.67802316160232,33.00456455904326,base,14194
6952.9,f_1.2306,-4.662175459419444,57.261692715943035,3573.975193308342,base,14194
7227.1,f_0.2541,-5.202196413373521,58.044014030300836,47.61199496460848,base,14194
7227.2,f_0.2541,-5.001864603361916,56.9251269297164,50.156771620652734,base,14194
7227.3,f_0.2541,-4.7868847036220785,55.85432954282436,52.65367942966077,base,14194
7227.4,f_0.2541,-4.607992082997647,54.82354936181029,55.10450731783883,base,14194
7589.6,f_0.2672,-4.966323763675362,59.472019066592,57.01998419322137,base,14194
7589.7,f_0.2672,-4.8146887054501875,58.39500209131503,59.63047003957018,base,14194
7589.8,f_0.2672,-4.618883191253431,57.36178563473078,62.19476705400645,base,14194
