Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
3.7,f_0.0,-4.687238501728217,58.42294128400131,69.58446802865701,base,87
3.8,f_0.0,-4.55487505835567,57.4040430626975,72.15065411602178,base,87
218.3,f_0.64,-4.51764283832695,63.140824244753475,197.1893501001967,base,87
668.9,f_0.239,-4.71108407118539,57.19633137094026,47.395010163359146,base,87
669.0,f_0.239,-4.5373241241062345,56.18135918832244,49.90653748140623,base,87
752.5,f_0.277,-4.828389923166441,61.86667826514721,104.28606358770418,base,87
752.6,f_0.277,-4.659696616073106,60.82433209031135,107.00515002231178,base,87
898.2,f_0.323,-4.591197574990105,59.10413842026018,107.88609827296557,base,87
901.2,f_0.325,-4.687178202522375,61.41943178125678,67.01944862537003,base,87
901.3,f_0.325,-4.55293423172531,60.40096771122522,69.7196090101468,base,87
1681.3,f_0.589,-5.007874879878997,62.196580299610034,44.58278341775183,base,87
1681.4,f_0.589,-4.8375010678651975,61.114460335735,47.31483972394399,base,87
1681.5,f_0.589,-4.649787381599992,60.074330797195366,50.00039815632015,base,87
1681.6,f_0.589,-4.500103190039759,59.06768471420261,52.640955556795916,base,87
3615.9,f_0.1265,-4.896687780756039,51.461139149927085,36.97161828765276,base,87
3616.0,f_0.1265,-4.710379189230203,50.40745558757142,39.22502944698522,base,87
4000.6,f_0.1399,-5.223738213965632,52.16730218879027,33.300289146648595,base,87
4000.7,f_0.1399,-4.983331091515701,51.05256092360476,35.58253904711999,base,87
4000.8,f_0.1399,-4.804563439877398,49.97780890948482,37.8167433131926,base,87
4000.9,f_0.1399,-4.579592061391509,48.953381642903906,40.00515165865131,base,87
4239.1,f_0.1475,-4.871823240374589,56.607423547687645,47.20426697417762,base,87
4239.2,f_0.1475,-4.684163318833647,55.559604318244475,49.68799940858554,base,87
4239.3,f_0.1475,-4.504638859340844,54.551943633243084,52.12668545440005,base,87
4304.5,f_0.1492,-5.17682842176292,54.18183891952556,28.57341448280028,base,87
4304.6,f_0.1492,-4.963389382872769,53.07155849491322,30.94592150108925,base,87
4304.7,f_0.1492,-4.723878101606225,52.01485530685252,33.27118973836215,base,87
4304.8,f_0.1492,-4.572874084798748,50.99193081132755,35.55072923478707,base,87
5201.8,f_0.1797,-5.0775872406480715,53.74764250089047,40.70630379897751,base,87
5201.9,f_0.1797,-4.863050479783588,52.659807286865764,43.060403921773194,base,87
5202.0,f_0.1797,-4.658744394243293,51.617674118339906,45.367916600626444,base,87
5355.0,f_0.1846,-4.5088239216578785,60.79513855549266,771.5497602203465,base,87
5401.9,f_0.1878,-5.08564649676039,51.43604255785368,39.19773138503433,base,87
5402.0,f_0.1878,-4.860783882188606,50.34871436811139,41.44851658124484,base,87
5402.1,f_0.1878,-4.647161006261484,49.30917233397673,43.652830167392736,base,87
5409.8,f_0.1879,-4.722200719819725,58.84101652394442,79.83373262381083,base,87
5409.9,f_0.1879,-4.543196844272401,57.82473064906175,82.41872509786296,base,87
5462.1,f_0.1898,-4.9066326326249055,51.478376643650705,36.55274814942175,base,87
5462.2,f_0.1898,-4.702987366928895,50.42634658759291,38.80700381061932,base,87
5476.6,f_0.1906,-5.07363794101007,51.51146073302755,39.292792955683865,base,87
5476.7,f_0.1906,-4.8680922968526374,50.422497694775394,41.54687655626213,base,87
5476.8,f_0.1906,-4.6804027567626605,49.37551968050413,43.754156129272765,base,87
5574.4,f_0.1934,-4.555702091192657,58.28666007476663,80.14039217450956,base,87
5923.3,f_1.2068,-4.772355667546471,54.642894012640895,3424.995889273491,base,87
5923.4,f_1.2068,-4.510055528153707,53.63402165132608,3427.393540603045,base,87
6450.5,f_0.2255,-4.754465081789263,49.46630535737423,31.257109481365195,base,87
6450.6,f_0.2255,-4.549889662794797,48.448522339145015,33.422948633919354,base,87
6968.7,f_0.2452,-5.175760926046529,59.09973508761659,62.468857728207645,base,87
6968.8,f_0.2452,-4.972907462828999,57.98732552562652,65.06111883157325,base,87
6968.9,f_0.2452,-4.779010178598391,56.918289622735124,67.60558983315288,base,87
6969.0,f_0.2452,-4.594848818387334,55.89044951115479,70.10411234654862,base,87
7712.6,f_0.2729,-5.144321317871423,56.48583967083963,83.18098345734597,base,87
7712.7,f_0.2729,-4.945890993165563,55.37947353101445,85.65666333838948,base,87
7712.8,f_0.2729,-4.745999633489539,54.31782188900064,88.08488322309807,base,87
7712.9,f_0.2729,-4.536268699510266,53.30308579853239,90.46774042081158,base,87
7773.9,f_0.2740,-4.56410327250012,55.48636316398136,149.05180944999015,base,87
7781.1,f_1.2745,-4.927064444262861,51.760350774107316,1984.4047274868992,base,87
7781.2,f_1.2745,-4.6829678087740945,50.7127989730914,1986.6717886943115,base,87
7781.3,f_1.2745,-4.52991945337633,49.69948317088784,1988.8935507071901,base,87
