Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
7.7,f_0.1,-4.500000000000028,71.82031479024135,11.566300060818918,base,19931
134.8,f_0.44,-5.037643159394669,55.64712214765718,54.39574409606223,base,19931
134.9,f_0.44,-4.8438291225288665,54.563586635922206,56.834950629805746,base,19931
135.0,f_0.44,-4.651738549534237,53.5230206328227,59.22763977805392,base,19931
361.0,f_0.135,-5.206514297635003,55.454649836284844,43.78111309572054,base,19931
361.1,f_0.135,-4.987962248122635,54.3388726091533,46.210274030262966,base,19931
361.2,f_0.135,-4.7797597139533465,53.26966903970022,48.591637367665854,base,19931
361.3,f_0.135,-4.581466555252085,52.24482246008966,50.92718603951622,base,19931
649.0,f_0.201,-5.101230810678921,56.352259248024204,2577.8712010489226,base,19931
649.1,f_0.201,-4.817720846551055,55.27456400097581,2580.342191062109,base,19931
649.2,f_0.201,-4.650163426453275,54.23435034345877,2582.766679441031,base,19931
900.7,f_0.310,-4.52791549131252,55.39713475552976,125.19556483549596,base,19931
1531.7,f_0.514,-4.860170689558778,57.72993179498984,53.13624391179728,base,19931
1531.8,f_0.514,-4.6770286656155236,56.68370854466364,55.67022821824554,base,19931
1531.9,f_0.514,-4.5016481488331905,55.67671686365855,58.15919604320547,base,19931
2243.5,f_0.740,-4.863133596568012,59.73109319482932,38.16581935186101,base,19931
2243.6,f_0.740,-4.685907370580189,58.682883831474754,40.78917464218953,base,19931
2243.7,f_0.740,-4.515936928257105,57.67269583624521,43.367370563235475,base,19931
2398.0,f_0.783,-4.812781253043816,60.873333144912216,92.20512977859248,base,19931
2398.1,f_0.783,-4.635951652050991,59.836298576058326,94.8800472361934,base,19931
2842.2,f_0.917,-5.215037279868149,57.27827195722587,76.64705142152758,base,19931
2842.3,f_0.917,-5.002582513601297,56.15922426442834,79.15758922157713,base,19931
2842.4,f_0.917,-4.816561512837225,55.08178835337573,81.6199614064983,base,19931
2842.5,f_0.917,-4.5929945916966375,54.05436302118074,84.03640364550252,base,19931
2853.4,f_0.922,-4.574790048135959,57.023837353592285,44.70932716792883,base,19931
2965.7,f_0.954,-5.208339404438824,57.809578064957385,74.97227882119039,base,19931
2965.8,f_0.954,-5.015403296329097,56.687662439988344,77.50643988228225,base,19931
2965.9,f_0.954,-4.785005698102047,55.617285375357106,79.9927508863931,base,19931
2966.0,f_0.954,-4.611718915521834,54.58567152426836,82.43294470134872,base,19931
3022.6,f_0.971,-4.854179023027285,61.10358518599568,83.95159787507697,base,19931
3022.7,f_0.971,-4.699800542899055,60.05226800335242,86.63617001395205,base,19931
3022.8,f_0.971,-4.547190086028756,59.0350888642483,89.27527025196686,base,19931
3245.6,f_0.1055,-4.94946828318259,60.47882681624751,62.63291851820522,base,19931
3245.7,f_0.1055,-4.761710237427472,59.41366080639641,65.28894240826916,base,19931
3245.8,f_0.1055,-4.588887970689086,58.38715410068109,67.89907741862622,base,19931
3534.7,f_0.1128,-4.733633658991359,51.682703406883,35.82073662268341,base,19931
3534.8,f_0.1128,-4.544699615479999,50.66608137109782,38.085709369878145,base,19931
4639.4,f_0.1502,-4.927626873914903,48.174680141906485,46.58882474889573,base,19931
4639.5,f_0.1502,-4.821621300219334,47.096112386775225,48.69420586715439,base,19931
4639.6,f_0.1502,-4.68237212995529,46.04869383553701,50.75276326411349,base,19931
4639.7,f_0.1502,-4.514495086059647,45.038828371755976,52.766175710211996,base,19931
5299.3,f_0.1726,-4.8775609736319225,56.25821465584576,52.17055608070868,base,19931
5299.4,f_0.1726,-4.6808536997987815,55.21113576832297,54.63871060288285,base,19931
5497.7,f_0.1786,-4.856647880642946,56.8463451076066,65.8329097336193,base,19931
5497.8,f_0.1786,-4.682795471459258,55.798831857413994,68.3273365782112,base,19931
6345.4,f_0.2084,-4.745293496845271,55.837797572496704,91.11141251573771,base,19931
6345.5,f_0.2084,-4.5647331478036435,54.816694155731916,93.56193394929122,base,19931
6665.4,f_0.2191,-5.141267615847482,62.2864130279019,82.52512907788282,base,19931
6665.5,f_0.2191,-4.9377625579478135,61.181865170264324,85.26019864480301,base,19931
6665.6,f_0.2191,-4.756720223022626,60.1178153966955,87.94770100949297,base,19931
6665.7,f_0.2191,-4.591464506337388,59.09073233541486,90.58928872911956,base,19931
6841.8,f_0.2248,-5.00598105395305,60.23799518395739,46.84822231009602,base,19931
6841.9,f_0.2248,-4.826552335270726,59.15832438587133,49.492831659737554,base,19931
6842.0,f_0.2248,-4.655933137328283,58.11682007864982,52.09088167800581,base,19931
7288.8,f_0.2401,-4.990108156947173,62.09899913446399,81.73438601445669,base,19931
7288.9,f_0.2401,-4.777336057517836,61.0303377224136,84.46268170957651,base,19931
7289.0,f_0.2401,-4.633777562196428,59.99378948441563,87.14463962907439,base,19931
