Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
514.9,f_0.192,-5.089202901996259,52.98211115380085,57.58410126976909,base,11899
515.0,f_0.192,-4.8705844164829415,51.892590643340114,59.9039037965843,base,11899
515.1,f_0.192,-4.662571435632188,50.849601388617806,62.17708060904319,base,11899
1198.4,f_0.455,-5.199116647666742,57.62722517849866,58.69919421357346,base,11899
1198.5,f_0.455,-4.968515775600828,56.51579801059141,61.22567225994893,base,11899
1198.6,f_0.455,-4.786748619801671,55.44503106483349,63.70428282012638,base,11899
1198.7,f_0.455,-4.573564046469798,54.42195222902248,66.13715773983914,base,11899
1260.0,f_0.480,-5.14545124314246,51.79693046739105,57.595297982145254,base,11899
1260.1,f_0.480,-4.951804084191274,50.689241604581966,59.86130608270146,base,11899
1260.2,f_0.480,-4.705131263451285,49.63673197173549,62.08026287062315,base,11899
1343.2,f_0.506,-4.7401207567419235,68.996270300634,83.16026578825849,base,11899
1343.3,f_0.506,-4.589668928095243,67.96958889943265,86.19877325378874,base,11899
1409.6,f_0.530,-5.192269873268955,64.93439036753661,144.40496034608242,base,11899
1409.7,f_0.530,-5.016911774858173,63.812137304971486,147.25761340360614,base,11899
1409.8,f_0.530,-4.859964447959477,62.72499241774964,150.06166681665027,base,11899
1409.9,f_0.530,-4.660048029491755,61.68256763384051,152.8191197493995,base,11899
1410.0,f_0.530,-4.501675686805129,60.67556979275632,155.53155592528068,base,11899
3019.7,f_0.1094,-4.683899596349015,63.587839675226654,137.2810617367459,base,11899
3019.8,f_0.1094,-4.536989959514557,62.572942243223004,140.07831791005512,base,11899
3079.5,f_0.1122,-4.708493706618597,52.70330548303166,34.57607836837958,base,11899
3079.6,f_0.1122,-4.520136493873146,51.69217807017121,36.88692166637466,base,11899
3670.0,f_0.1330,-4.550351115201607,62.594409063735995,126.3361159137957,base,11899
3721.1,f_0.1349,-4.746308392969354,53.24079861486312,47.80798951421816,base,11899
3721.2,f_0.1349,-4.556867555547477,52.22145468389248,50.14249355473299,base,11899
4278.5,f_0.1531,-5.001951168493122,56.297194967549316,38.995464599130074,base,11899
4278.6,f_0.1531,-4.792101101881201,55.225230703665105,41.46424922024933,base,11899
4278.7,f_0.1531,-4.610858422688473,54.193809339660234,43.8869252571417,base,11899
4279.7,f_0.1530,-4.598138323988437,68.94419006279736,111.82377037988677,base,11899
4629.1,f_0.1636,-5.209845118023644,58.14992244770705,40.20353072631071,base,11899
4629.2,f_0.1636,-5.03563284393401,57.023481594316074,42.75270422199303,base,11899
4629.3,f_0.1636,-4.814928517042638,55.94641097462473,45.25372843250492,base,11899
4629.4,f_0.1636,-4.633260188276793,54.909978470068346,47.70842004113405,base,11899
4831.4,f_0.1700,-4.830306415119772,64.13908789424468,80.18628364184997,base,11899
4831.5,f_0.1700,-4.661863897845642,63.09625691148,83.00693403531068,base,11899
4831.6,f_0.1700,-4.500285907683583,62.08956995564663,85.78258156969456,base,11899
5149.4,f_0.1812,-4.553344923504632,57.61194726434932,52.35271865794802,base,11899
5480.8,f_0.1913,-5.181379437202587,57.58492539636778,39.66597986235568,base,11899
5480.9,f_0.1913,-4.997788475255547,56.46695010118396,42.190274215408685,base,11899
5481.0,f_0.1913,-4.769713495917927,55.3999938104281,44.666871433502514,base,11899
5481.1,f_0.1913,-4.5782272206636065,54.37587185052897,47.09768637938971,base,11899
6345.0,f_0.2230,-5.192949400864109,54.77240181844545,55.94456043225994,base,11899
6345.1,f_0.2230,-4.958828190262103,53.66314170525296,58.343513542546894,base,11899
6345.2,f_0.2230,-4.791893510515592,52.59122387831169,60.69454771772869,base,11899
6345.3,f_0.2230,-4.57567420969081,51.56767301164911,62.99982515081358,base,11899
6706.2,f_0.2373,-4.99649018693475,59.309296551143824,70.57804632577938,base,11899
6706.3,f_0.2373,-4.808154106359979,58.23374132647573,73.18132318284644,base,11899
6706.4,f_0.2373,-4.627800221460525,57.19853018373634,75.7383220376989,base,11899
6713.8,f_0.2374,-4.693882406054257,61.132313323589834,60.37549107716108,base,11899
6713.9,f_0.2374,-4.5221038533074776,60.120745824228074,63.0631244434663,base,11899
6864.7,f_0.2437,-4.880313526886901,56.04594383084244,57.10443519392801,base,11899
6864.8,f_0.2437,-4.670370043030729,55.00121007443672,59.563205213438444,base,11899
6864.9,f_0.2437,-4.503259843568479,53.993857866989515,61.97694263451319,base,11899
7116.2,f_0.2524,-4.696091934800002,56.49208336528707,49.578192558406705,base,11899
7116.3,f_0.2524,-4.503966188422979,55.48457315273398,52.05857080515155,base,11899
7294.5,f_0.2596,-4.564476744777082,57.48797089305923,92.67735328413093,base,11899
