scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,0.0,E0_0_0m,0.0,-1.0
attack,0.0,E0_0_1000m,1609.6,25.319333333333336
attack,0.0,E0_0_100m,1870.4,26.590999999999998
attack,0.0,E0_0_1100m,1583.2,25.22533333333333
attack,0.0,E0_0_1200m,1556.8,25.145333333333333
attack,0.0,E0_0_1300m,1532.0,25.048000000000005
attack,0.0,E0_0_1400m,1504.8,24.979999999999997
attack,0.0,E0_0_1500m,1478.0,24.938666666666666
attack,0.0,E0_0_1600m,1460.4,24.93433333333333
attack,0.0,E0_0_1700m,1439.6,24.886333333333333
attack,0.0,E0_0_1800m,1413.6,24.83466666666667
attack,0.0,E0_0_1900m,1395.2,24.84666666666666
attack,0.0,E0_0_2000m,1370.0,24.83366666666666
attack,0.0,E0_0_200m,1855.6,26.357666666666667
attack,0.0,E0_0_2100m,1348.0,24.786999999999995
attack,0.0,E0_0_2200m,1325.6,24.762
attack,0.0,E0_0_2300m,1299.6,24.75100000000001
attack,0.0,E0_0_2400m,1272.4,24.747666666666664
attack,0.0,E0_0_2500m,1246.4,24.75633333333333
attack,0.0,E0_0_2600m,1220.0,24.769000000000002
attack,0.0,E0_0_2700m,1193.6,24.768000000000004
attack,0.0,E0_0_2800m,1167.6,24.765000000000004
attack,0.0,E0_0_2900m,1140.0,24.776333333333334
attack,0.0,E0_0_3000m,1120.0,24.794333333333334
attack,0.0,E0_0_300m,1824.4,26.162666666666667
attack,0.0,E0_0_3100m,1094.8,24.840666666666664
attack,0.0,E0_0_3200m,1072.0,24.882999999999996
attack,0.0,E0_0_3300m,1047.2,24.917000000000005
attack,0.0,E0_0_3400m,1022.8,24.930999999999997
attack,0.0,E0_0_3500m,993.6,24.95633333333333
attack,0.0,E0_0_3600m,966.4,24.982666666666667
attack,0.0,E0_0_3700m,940.8,25.015333333333334
attack,0.0,E0_0_3800m,915.2,25.047333333333334
attack,0.0,E0_0_3900m,891.6,25.079666666666665
attack,0.0,E0_0_4000m,871.6,25.089333333333336
attack,0.0,E0_0_400m,1790.4,25.985666666666667
attack,0.0,E0_0_4100m,848.0,25.14566666666667
attack,0.0,E0_0_4200m,824.0,25.191666666666666
attack,0.0,E0_0_4300m,796.0,25.283
attack,0.0,E0_0_4400m,771.6,25.331666666666663
attack,0.0,E0_0_4500m,747.2,25.366000000000003
attack,0.0,E0_0_4600m,720.4,25.395666666666664
attack,0.0,E0_0_4700m,696.4,25.503999999999998
attack,0.0,E0_0_4800m,670.4,25.589333333333332
attack,0.0,E0_0_4900m,646.8,25.678666666666672
attack,0.0,E0_0_5000m,628.4,25.778666666666666
attack,0.0,E0_0_500m,1762.4,25.844
attack,0.0,E0_0_600m,1736.8,25.706666666666663
attack,0.0,E0_0_700m,1699.2,25.60733333333333
attack,0.0,E0_0_800m,1665.2,25.506333333333334
attack,0.0,E0_0_900m,1636.8,25.42333333333334
attack,0.0,E0_1_0m,0.0,-1.0
attack,0.0,E0_1_1000m,1907.2,26.855999999999995
attack,0.0,E0_1_100m,2102.4,28.066333333333333
attack,0.0,E0_1_1100m,1883.2,26.73766666666667
attack,0.0,E0_1_1200m,1858.4,26.60966666666667
attack,0.0,E0_1_1300m,1836.0,26.502999999999997
attack,0.0,E0_1_1400m,1815.2,26.423666666666666
attack,0.0,E0_1_1500m,1792.8,26.374666666666663
attack,0.0,E0_1_1600m,1760.8,26.310333333333336
attack,0.0,E0_1_1700m,1730.8,26.24866666666667
attack,0.0,E0_1_1800m,1702.4,26.199333333333332
attack,0.0,E0_1_1900m,1667.6,26.153333333333332
attack,0.0,E0_1_2000m,1639.6,26.081666666666667
attack,0.0,E0_1_200m,2070.0,28.093666666666667
attack,0.0,E0_1_2100m,1605.6,26.041
attack,0.0,E0_1_2200m,1574.8,25.98866666666667
attack,0.0,E0_1_2300m,1547.6,25.957333333333334
attack,0.0,E0_1_2400m,1516.0,25.927666666666667
attack,0.0,E0_1_2500m,1487.6,25.919666666666664
attack,0.0,E0_1_2600m,1458.0,25.906
attack,0.0,E0_1_2700m,1427.6,25.91200000000001
attack,0.0,E0_1_2800m,1394.8,25.93766666666667
attack,0.0,E0_1_2900m,1364.4,25.945666666666664
attack,0.0,E0_1_3000m,1325.2,25.952333333333332
attack,0.0,E0_1_300m,2054.4,27.907666666666668
attack,0.0,E0_1_3100m,1295.6,25.957666666666668
attack,0.0,E0_1_3200m,1262.4,25.958333333333336
attack,0.0,E0_1_3300m,1234.4,25.95833333333333
attack,0.0,E0_1_3400m,1204.0,25.97533333333333
attack,0.0,E0_1_3500m,1170.4,26.005000000000006
attack,0.0,E0_1_3600m,1134.8,26.046
attack,0.0,E0_1_3700m,1101.6,26.104
attack,0.0,E0_1_3800m,1070.4,26.121666666666663
attack,0.0,E0_1_3900m,1039.6,26.149333333333335
attack,0.0,E0_1_4000m,1009.2,26.192999999999998
attack,0.0,E0_1_400m,2040.4,27.70633333333334
attack,0.0,E0_1_4100m,978.0,26.279000000000003
attack,0.0,E0_1_4200m,949.2,26.317999999999998
attack,0.0,E0_1_4300m,924.0,26.31433333333333
attack,0.0,E0_1_4400m,895.6,26.340666666666667
attack,0.0,E0_1_4500m,863.6,26.384999999999998
attack,0.0,E0_1_4600m,832.8,26.43166666666666
attack,0.0,E0_1_4700m,795.6,26.523
attack,0.0,E0_1_4800m,763.2,26.631000000000004
attack,0.0,E0_1_4900m,734.4,26.729666666666667
attack,0.0,E0_1_5000m,705.6,26.816666666666666
attack,0.0,E0_1_500m,2012.8,27.514666666666663
attack,0.0,E0_1_600m,1986.4,27.358999999999998
attack,0.0,E0_1_700m,1970.4,27.196666666666665
attack,0.0,E0_1_800m,1953.6,27.072333333333333
attack,0.0,E0_1_900m,1932.4,26.962333333333333
attack,300.0,E0_0_0m,0.0,-1.0
attack,300.0,E0_0_1000m,1820.8,25.064999999999998
attack,300.0,E0_0_100m,1856.8,25.993666666666673
attack,300.0,E0_0_1100m,1817.6,24.906333333333333
attack,300.0,E0_0_1200m,1812.8,24.79866666666667
attack,300.0,E0_0_1300m,1806.0,24.700666666666663
attack,300.0,E0_0_1400m,1797.6,24.609333333333336
attack,300.0,E0_0_1500m,1798.8,24.551666666666666
attack,300.0,E0_0_1600m,1802.4,24.483666666666668
attack,300.0,E0_0_1700m,1799.6,24.431333333333335
attack,300.0,E0_0_1800m,1800.8,24.363666666666667
attack,300.0,E0_0_1900m,1806.0,24.322333333333333
attack,300.0,E0_0_2000m,1805.2,24.279999999999998
attack,300.0,E0_0_200m,1859.2,26.019
attack,300.0,E0_0_2100m,1804.0,24.230666666666664
attack,300.0,E0_0_2200m,1804.4,24.168333333333333
attack,300.0,E0_0_2300m,1802.0,24.115333333333336
attack,300.0,E0_0_2400m,1805.2,24.087666666666674
attack,300.0,E0_0_2500m,1801.2,24.062999999999995
attack,300.0,E0_0_2600m,1802.0,24.049333333333333
attack,300.0,E0_0_2700m,1803.6,24.011666666666663
attack,300.0,E0_0_2800m,1802.8,23.985000000000007
attack,300.0,E0_0_2900m,1799.2,23.940666666666665
attack,300.0,E0_0_3000m,1804.0,23.88066666666667
attack,300.0,E0_0_300m,1853.2,25.909333333333333
attack,300.0,E0_0_3100m,1809.6,23.830333333333332
attack,300.0,E0_0_3200m,1808.8,23.788000000000004
attack,300.0,E0_0_3300m,1808.4,23.770666666666667
attack,300.0,E0_0_3400m,1814.0,23.74533333333334
attack,300.0,E0_0_3500m,1817.2,23.73366666666666
attack,300.0,E0_0_3600m,1822.0,23.71333333333333
attack,300.0,E0_0_3700m,1822.0,23.691000000000006
attack,300.0,E0_0_3800m,1826.4,23.66700000000001
attack,300.0,E0_0_3900m,1825.2,23.639666666666663
attack,300.0,E0_0_4000m,1820.4,23.612999999999992
attack,300.0,E0_0_400m,1841.6,25.776999999999997
attack,300.0,E0_0_4100m,1820.8,23.605000000000004
attack,300.0,E0_0_4200m,1820.4,23.574
attack,300.0,E0_0_4300m,1824.0,23.562999999999995
attack,300.0,E0_0_4400m,1819.6,23.57
attack,300.0,E0_0_4500m,1819.6,23.58666666666667
attack,300.0,E0_0_4600m,1825.6,23.60433333333333
attack,300.0,E0_0_4700m,1832.0,23.634
attack,300.0,E0_0_4800m,1836.0,23.65833333333334
attack,300.0,E0_0_4900m,1834.4,23.71066666666667
attack,300.0,E0_0_5000m,1824.8,23.788333333333338
attack,300.0,E0_0_500m,1834.8,25.651666666666664
attack,300.0,E0_0_600m,1832.8,25.540666666666663
attack,300.0,E0_0_700m,1835.2,25.420999999999996
attack,300.0,E0_0_800m,1826.8,25.294333333333334
attack,300.0,E0_0_900m,1823.6,25.18433333333333
attack,300.0,E0_1_0m,0.0,-1.0
attack,300.0,E0_1_1000m,2204.4,26.586
attack,300.0,E0_1_100m,2169.6,27.351
attack,300.0,E0_1_1100m,2204.4,26.463333333333328
attack,300.0,E0_1_1200m,2215.2,26.355000000000004
attack,300.0,E0_1_1300m,2215.6,26.254
attack,300.0,E0_1_1400m,2218.8,26.154333333333334
attack,300.0,E0_1_1500m,2214.8,26.082333333333338
attack,300.0,E0_1_1600m,2212.8,26.00033333333333
attack,300.0,E0_1_1700m,2214.8,25.926666666666666
attack,300.0,E0_1_1800m,2213.2,25.869999999999997
attack,300.0,E0_1_1900m,2211.6,25.799333333333337
attack,300.0,E0_1_2000m,2210.4,25.749999999999993
attack,300.0,E0_1_200m,2163.6,27.593000000000004
attack,300.0,E0_1_2100m,2211.2,25.710666666666672
attack,300.0,E0_1_2200m,2208.0,25.675
attack,300.0,E0_1_2300m,2203.2,25.637666666666668
attack,300.0,E0_1_2400m,2203.6,25.606333333333332
attack,300.0,E0_1_2500m,2201.6,25.568666666666672
attack,300.0,E0_1_2600m,2196.8,25.533
attack,300.0,E0_1_2700m,2197.2,25.464000000000002
attack,300.0,E0_1_2800m,2205.2,25.416000000000004
attack,300.0,E0_1_2900m,2210.0,25.377666666666666
attack,300.0,E0_1_3000m,2210.0,25.337666666666664
attack,300.0,E0_1_300m,2167.6,27.49733333333334
attack,300.0,E0_1_3100m,2204.4,25.294666666666668
attack,300.0,E0_1_3200m,2205.6,25.257000000000005
attack,300.0,E0_1_3300m,2205.2,25.226333333333333
attack,300.0,E0_1_3400m,2202.0,25.163999999999998
attack,300.0,E0_1_3500m,2206.8,25.121333333333336
attack,300.0,E0_1_3600m,2209.6,25.079000000000004
attack,300.0,E0_1_3700m,2212.0,25.031
attack,300.0,E0_1_3800m,2213.6,24.995666666666672
attack,300.0,E0_1_3900m,2216.8,24.979666666666663
attack,300.0,E0_1_4000m,2219.2,24.956666666666663
attack,300.0,E0_1_400m,2178.4,27.341000000000005
attack,300.0,E0_1_4100m,2214.0,24.948666666666664
attack,300.0,E0_1_4200m,2207.2,24.941333333333333
attack,300.0,E0_1_4300m,2197.2,24.930666666666674
attack,300.0,E0_1_4400m,2194.4,24.92033333333333
attack,300.0,E0_1_4500m,2192.0,24.929
attack,300.0,E0_1_4600m,2192.0,24.949
attack,300.0,E0_1_4700m,2193.6,24.97033333333334
attack,300.0,E0_1_4800m,2195.6,25.009333333333334
attack,300.0,E0_1_4900m,2191.6,25.059666666666665
attack,300.0,E0_1_5000m,2183.6,25.13566666666667
attack,300.0,E0_1_500m,2187.6,27.218999999999994
attack,300.0,E0_1_600m,2188.0,27.08933333333333
attack,300.0,E0_1_700m,2186.8,26.956000000000003
attack,300.0,E0_1_800m,2190.8,26.848000000000003
attack,300.0,E0_1_900m,2193.2,26.70833333333333
attack,600.0,E0_0_0m,0.0,-1.0
attack,600.0,E0_0_1000m,1851.6,25.142666666666674
attack,600.0,E0_0_100m,1901.6,25.82633333333333
attack,600.0,E0_0_1100m,1846.0,25.055666666666664
attack,600.0,E0_0_1200m,1845.2,24.959333333333333
attack,600.0,E0_0_1300m,1843.2,24.896333333333335
attack,600.0,E0_0_1400m,1844.0,24.797000000000004
attack,600.0,E0_0_1500m,1839.6,24.73233333333333
attack,600.0,E0_0_1600m,1831.2,24.686
attack,600.0,E0_0_1700m,1828.8,24.639666666666667
attack,600.0,E0_0_1800m,1833.2,24.59666666666667
attack,600.0,E0_0_1900m,1830.0,24.542666666666673
attack,600.0,E0_0_2000m,1825.2,24.505
attack,600.0,E0_0_200m,1902.0,25.935999999999993
attack,600.0,E0_0_2100m,1827.2,24.465
attack,600.0,E0_0_2200m,1823.2,24.41200000000001
