interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
0.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
0.0,E0_100m,E0,100,1.0,1.0,27.33,27.33,3972.8,3972.8
0.0,E0_200m,E0,200,1.0,1.0,27.23,27.23,3925.6,3925.6
0.0,E0_300m,E0,300,1.0,1.0,27.04,27.04,3878.8,3878.8
0.0,E0_400m,E0,400,1.0,1.0,26.85,26.85,3830.8,3830.8
0.0,E0_500m,E0,500,1.0,1.0,26.68,26.68,3775.2,3775.2
0.0,E0_600m,E0,600,1.0,1.0,26.53,26.53,3723.2,3723.2
0.0,E0_700m,E0,700,1.0,1.0,26.4,26.4,3669.6,3669.6
0.0,E0_800m,E0,800,1.0,1.0,26.29,26.29,3618.8,3618.8
0.0,E0_900m,E0,900,1.0,1.0,26.19,26.19,3569.2,3569.2
0.0,E0_1000m,E0,1000,1.0,1.0,26.09,26.09,3516.8,3516.8
0.0,E0_1100m,E0,1100,1.0,1.0,25.98,25.98,3466.4,3466.4
0.0,E0_1200m,E0,1200,1.0,1.0,25.88,25.88,3415.2,3415.2
0.0,E0_1300m,E0,1300,1.0,1.0,25.78,25.78,3368.0,3368.0
0.0,E0_1400m,E0,1400,1.0,1.0,25.7,25.7,3320.0,3320.0
0.0,E0_1500m,E0,1500,1.0,1.0,25.66,25.66,3270.8,3270.8
0.0,E0_1600m,E0,1600,1.0,1.0,25.62,25.62,3221.2,3221.2
0.0,E0_1700m,E0,1700,1.0,1.0,25.57,25.57,3170.4,3170.4
0.0,E0_1800m,E0,1800,1.0,1.0,25.52,25.52,3116.0,3116.0
0.0,E0_1900m,E0,1900,1.0,1.0,25.5,25.5,3062.8,3062.8
0.0,E0_2000m,E0,2000,1.0,1.0,25.46,25.46,3009.6,3009.6
0.0,E0_2100m,E0,2100,1.0,1.0,25.41,25.41,2953.6,2953.6
0.0,E0_2200m,E0,2200,1.0,1.0,25.38,25.38,2900.4,2900.4
0.0,E0_2300m,E0,2300,1.0,1.0,25.35,25.35,2847.2,2847.2
0.0,E0_2400m,E0,2400,1.0,1.0,25.34,25.34,2788.4,2788.4
0.0,E0_2500m,E0,2500,1.0,1.0,25.34,25.34,2734.0,2734.0
0.0,E0_2600m,E0,2600,1.0,1.0,25.34,25.34,2678.0,2678.0
0.0,E0_2700m,E0,2700,1.0,1.0,25.34,25.34,2621.2,2621.2
0.0,E0_2800m,E0,2800,1.0,1.0,25.35,25.35,2562.4,2562.4
0.0,E0_2900m,E0,2900,1.0,1.0,25.36,25.36,2504.4,2504.4
0.0,E0_3000m,E0,3000,1.0,1.0,25.37,25.37,2445.2,2445.2
0.0,E0_3100m,E0,3100,1.0,1.0,25.4,25.4,2390.4,2390.4
0.0,E0_3200m,E0,3200,1.0,1.0,25.42,25.42,2334.4,2334.4
0.0,E0_3300m,E0,3300,1.0,1.0,25.44,25.44,2281.6,2281.6
0.0,E0_3400m,E0,3400,1.0,1.0,25.45,25.45,2226.8,2226.8
0.0,E0_3500m,E0,3500,1.0,1.0,25.48,25.48,2164.0,2164.0
0.0,E0_3600m,E0,3600,1.0,1.0,25.51,25.51,2101.2,2101.2
0.0,E0_3700m,E0,3700,1.0,1.0,25.56,25.56,2042.4,2042.4
0.0,E0_3800m,E0,3800,1.0,1.0,25.58,25.58,1985.6,1985.6
0.0,E0_3900m,E0,3900,1.0,1.0,25.61,25.61,1931.2,1931.2
0.0,E0_4000m,E0,4000,1.0,1.0,25.64,25.64,1880.8,1880.8
0.0,E0_4100m,E0,4100,1.0,1.0,25.71,25.71,1826.0,1826.0
0.0,E0_4200m,E0,4200,1.0,1.0,25.75,25.75,1773.2,1773.2
0.0,E0_4300m,E0,4300,1.0,1.0,25.8,25.8,1720.0,1720.0
0.0,E0_4400m,E0,4400,1.0,1.0,25.84,25.84,1667.2,1667.2
0.0,E0_4500m,E0,4500,1.0,1.0,25.88,25.88,1610.8,1610.8
0.0,E0_4600m,E0,4600,1.0,1.0,25.91,25.91,1553.2,1553.2
0.0,E0_4700m,E0,4700,1.0,1.0,26.01,26.01,1492.0,1492.0
0.0,E0_4800m,E0,4800,1.0,1.0,26.11,26.11,1433.6,1433.6
0.0,E0_4900m,E0,4900,1.0,1.0,26.2,26.2,1381.2,1381.2
0.0,E0_5000m,E0,5000,1.0,1.0,26.3,26.3,1334.0,1334.0
300.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
300.0,E0_100m,E0,100,1.0,1.0,26.67,26.67,4026.4,4026.4
300.0,E0_200m,E0,200,1.0,1.0,26.81,26.81,4022.8,4022.8
300.0,E0_300m,E0,300,1.0,1.0,26.7,26.7,4020.8,4020.8
300.0,E0_400m,E0,400,1.0,1.0,26.56,26.56,4020.0,4020.0
300.0,E0_500m,E0,500,1.0,1.0,26.44,26.44,4022.4,4022.4
300.0,E0_600m,E0,600,1.0,1.0,26.32,26.32,4020.8,4020.8
300.0,E0_700m,E0,700,1.0,1.0,26.19,26.19,4022.0,4022.0
300.0,E0_800m,E0,800,1.0,1.0,26.07,26.07,4017.6,4017.6
300.0,E0_900m,E0,900,1.0,1.0,25.95,25.95,4016.8,4016.8
300.0,E0_1000m,E0,1000,1.0,1.0,25.83,25.83,4025.2,4025.2
300.0,E0_1100m,E0,1100,1.0,1.0,25.68,25.68,4022.0,4022.0
300.0,E0_1200m,E0,1200,1.0,1.0,25.58,25.58,4028.0,4028.0
300.0,E0_1300m,E0,1300,1.0,1.0,25.48,25.48,4021.6,4021.6
300.0,E0_1400m,E0,1400,1.0,1.0,25.38,25.38,4016.4,4016.4
300.0,E0_1500m,E0,1500,1.0,1.0,25.32,25.32,4013.6,4013.6
300.0,E0_1600m,E0,1600,1.0,1.0,25.24,25.24,4015.2,4015.2
300.0,E0_1700m,E0,1700,1.0,1.0,25.18,25.18,4014.4,4014.4
300.0,E0_1800m,E0,1800,1.0,1.0,25.12,25.12,4014.0,4014.0
300.0,E0_1900m,E0,1900,1.0,1.0,25.06,25.06,4017.6,4017.6
300.0,E0_2000m,E0,2000,1.0,1.0,25.02,25.02,4015.6,4015.6
300.0,E0_2100m,E0,2100,1.0,1.0,24.97,24.97,4015.2,4015.2
300.0,E0_2200m,E0,2200,1.0,1.0,24.92,24.92,4012.4,4012.4
300.0,E0_2300m,E0,2300,1.0,1.0,24.88,24.88,4005.2,4005.2
300.0,E0_2400m,E0,2400,1.0,1.0,24.85,24.85,4008.8,4008.8
