interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;1836.00;26.55;E0_0_100m;5.00;153;154;9.64;26.68
0.00;300.00;2232.00;28.44;E0_1_100m;5.00;186;186;10.90;28.55
0.00;300.00;1836.00;26.42;E0_0_200m;5.00;153;153;9.65;26.56
0.00;300.00;2172.00;28.45;E0_1_200m;5.00;181;181;10.60;28.59
0.00;300.00;1812.00;26.18;E0_0_300m;5.00;151;152;9.63;26.34
0.00;300.00;2124.00;28.20;E0_1_300m;5.00;177;177;10.46;28.34
0.00;300.00;1776.00;26.14;E0_0_400m;5.00;148;149;9.45;26.29
0.00;300.00;2100.00;27.84;E0_1_400m;5.00;175;176;10.50;28.02
0.00;300.00;1764.00;26.15;E0_0_500m;5.00;147;147;9.37;26.30
0.00;300.00;2064.00;27.75;E0_1_500m;5.00;172;172;10.33;27.91
0.00;300.00;1764.00;26.07;E0_0_600m;5.00;147;147;9.40;26.20
0.00;300.00;2016.00;27.65;E0_1_600m;5.00;168;168;10.13;27.82
0.00;300.00;1740.00;25.89;E0_0_700m;5.00;145;145;9.34;26.03
0.00;300.00;1968.00;27.50;E0_1_700m;5.00;164;165;9.96;27.68
0.00;300.00;1668.00;25.85;E0_0_800m;5.00;139;139;8.96;26.00
0.00;300.00;1992.00;27.34;E0_1_800m;5.00;166;166;10.12;27.52
0.00;300.00;1644.00;25.94;E0_0_900m;5.00;137;137;8.80;26.06
0.00;300.00;1956.00;27.11;E0_1_900m;5.00;163;163;10.02;27.27
0.00;300.00;1644.00;25.93;E0_0_1000m;5.00;137;137;8.80;26.04
0.00;300.00;1920.00;26.86;E0_1_1000m;5.00;160;161;9.98;27.02
0.00;300.00;1632.00;25.91;E0_0_1100m;5.00;136;136;8.75;26.00
0.00;300.00;1908.00;26.71;E0_1_1100m;5.00;159;159;9.92;26.86
0.00;300.00;1620.00;25.71;E0_0_1200m;5.00;135;135;8.75;25.82
0.00;300.00;1860.00;26.57;E0_1_1200m;5.00;155;156;9.73;26.72
0.00;300.00;1608.00;25.83;E0_0_1300m;5.00;134;134;8.65;25.92
0.00;300.00;1848.00;26.37;E0_1_1300m;5.00;154;154;9.73;26.52
0.00;300.00;1596.00;25.73;E0_0_1400m;5.00;133;133;8.62;25.82
0.00;300.00;1824.00;26.26;E0_1_1400m;5.00;152;152;9.65;26.39
0.00;300.00;1572.00;25.74;E0_0_1500m;5.00;131;132;8.52;25.84
0.00;300.00;1800.00;26.16;E0_1_1500m;5.00;150;150;9.56;26.29
0.00;300.00;1548.00;25.84;E0_0_1600m;5.00;129;129;8.32;25.95
0.00;300.00;1764.00;26.10;E0_1_1600m;5.00;147;147;9.39;26.23
0.00;300.00;1524.00;25.84;E0_0_1700m;5.00;127;128;8.25;25.95
0.00;300.00;1728.00;26.10;E0_1_1700m;5.00;144;144;9.19;26.23
0.00;300.00;1512.00;25.88;E0_0_1800m;5.00;126;126;8.12;25.99
0.00;300.00;1680.00;26.16;E0_1_1800m;5.00;140;140;8.92;26.30
0.00;300.00;1476.00;25.85;E0_0_1900m;5.00;123;123;7.93;25.96
0.00;300.00;1644.00;26.13;E0_1_1900m;5.00;137;137;8.74;26.27
0.00;300.00;1440.00;25.76;E0_0_2000m;5.00;120;120;7.76;25.87
0.00;300.00;1608.00;26.11;E0_1_2000m;5.00;134;134;8.55;26.23
0.00;300.00;1380.00;25.83;E0_0_2100m;5.00;115;115;7.42;25.94
0.00;300.00;1596.00;26.09;E0_1_2100m;5.00;133;133;8.49;26.21
0.00;300.00;1356.00;25.88;E0_0_2200m;5.00;113;113;7.28;25.97
0.00;300.00;1560.00;26.08;E0_1_2200m;5.00;130;131;8.33;26.18
0.00;300.00;1320.00;25.86;E0_0_2300m;5.00;110;110;7.09;25.95
0.00;300.00;1524.00;26.06;E0_1_2300m;5.00;127;128;8.16;26.15
0.00;300.00;1284.00;25.90;E0_0_2400m;5.00;107;107;6.88;25.99
0.00;300.00;1488.00;26.04;E0_1_2400m;5.00;124;125;7.98;26.13
0.00;300.00;1236.00;25.94;E0_0_2500m;5.00;103;103;6.62;26.03
0.00;300.00;1464.00;26.05;E0_1_2500m;5.00;122;123;7.86;26.13
0.00;300.00;1200.00;25.97;E0_0_2600m;5.00;100;100;6.42;26.06
0.00;300.00;1440.00;26.05;E0_1_2600m;5.00;120;120;7.68;26.13
0.00;300.00;1164.00;25.98;E0_0_2700m;5.00;97;97;6.22;26.07
0.00;300.00;1404.00;26.09;E0_1_2700m;5.00;117;117;7.47;26.17
0.00;300.00;1152.00;26.01;E0_0_2800m;5.00;96;96;6.15;26.10
0.00;300.00;1344.00;26.15;E0_1_2800m;5.00;112;113;7.17;26.23
0.00;300.00;1128.00;26.10;E0_0_2900m;5.00;94;94;6.00;26.19
0.00;300.00;1296.00;26.31;E0_1_2900m;5.00;108;109;6.88;26.41
0.00;300.00;1104.00;26.07;E0_0_3000m;5.00;92;92;5.88;26.15
0.00;300.00;1260.00;26.34;E0_1_3000m;5.00;105;105;6.64;26.42
0.00;300.00;1056.00;26.03;E0_0_3100m;5.00;88;88;5.63;26.12
0.00;300.00;1236.00;26.36;E0_1_3100m;5.00;103;104;6.52;26.44
0.00;300.00;1032.00;26.04;E0_0_3200m;5.00;86;86;5.50;26.13
0.00;300.00;1188.00;26.38;E0_1_3200m;5.00;99;100;6.28;26.45
0.00;300.00;996.00;26.03;E0_0_3300m;5.00;83;83;5.31;26.11
0.00;300.00;1152.00;26.40;E0_1_3300m;5.00;96;96;6.06;26.47
0.00;300.00;972.00;25.86;E0_0_3400m;5.00;81;81;5.22;25.95
0.00;300.00;1116.00;26.45;E0_1_3400m;5.00;93;93;5.86;26.52
0.00;300.00;960.00;25.84;E0_0_3500m;5.00;80;80;5.16;25.94
0.00;300.00;1080.00;26.49;E0_1_3500m;5.00;90;90;5.66;26.56
0.00;300.00;960.00;26.01;E0_0_3600m;5.00;80;80;5.13;26.09
0.00;300.00;1080.00;26.48;E0_1_3600m;5.00;90;90;5.66;26.55
0.00;300.00;948.00;26.10;E0_0_3700m;5.00;79;79;5.05;26.18
0.00;300.00;1080.00;26.50;E0_1_3700m;5.00;90;90;5.66;26.57
0.00;300.00;912.00;26.16;E0_0_3800m;5.00;76;77;4.87;26.24
0.00;300.00;1044.00;26.55;E0_1_3800m;5.00;87;87;5.46;26.62
0.00;300.00;900.00;26.02;E0_0_3900m;5.00;75;75;4.80;26.11
0.00;300.00;1008.00;26.64;E0_1_3900m;5.00;84;84;5.26;26.71
0.00;300.00;912.00;26.11;E0_0_4000m;5.00;76;76;4.85;26.20
0.00;300.00;960.00;26.73;E0_1_4000m;5.00;80;80;4.99;26.81
0.00;300.00;876.00;26.20;E0_0_4100m;5.00;73;74;4.66;26.29
0.00;300.00;924.00;26.87;E0_1_4100m;5.00;77;77;4.78;26.96
0.00;300.00;864.00;26.15;E0_0_4200m;5.00;72;72;4.59;26.24
0.00;300.00;876.00;27.09;E0_1_4200m;5.00;73;74;4.52;27.18
0.00;300.00;828.00;26.16;E0_0_4300m;5.00;69;69;4.40;26.26
0.00;300.00;852.00;27.19;E0_1_4300m;5.00;71;71;4.35;27.29
0.00;300.00;804.00;26.17;E0_0_4400m;5.00;67;67;4.27;26.26
0.00;300.00;816.00;27.27;E0_1_4400m;5.00;68;68;4.16;27.37
0.00;300.00;780.00;26.10;E0_0_4500m;5.00;65;65;4.15;26.20
0.00;300.00;780.00;27.35;E0_1_4500m;5.00;65;65;3.96;27.46
0.00;300.00;744.00;26.04;E0_0_4600m;5.00;62;63;4.00;26.15
0.00;300.00;744.00;27.43;E0_1_4600m;5.00;62;62;3.77;27.54
0.00;300.00;720.00;26.02;E0_0_4700m;5.00;60;60;3.84;26.14
0.00;300.00;708.00;27.59;E0_1_4700m;5.00;59;59;3.56;27.72
0.00;300.00;684.00;26.04;E0_0_4800m;5.00;57;57;3.65;26.16
0.00;300.00;672.00;27.73;E0_1_4800m;5.00;56;56;3.37;27.87
0.00;300.00;660.00;26.01;E0_0_4900m;5.00;55;55;3.52;26.14
0.00;300.00;636.00;27.85;E0_1_4900m;5.00;53;53;3.17;27.99
0.00;300.00;660.00;26.06;E0_0_5000m;5.00;55;55;3.52;26.19
0.00;300.00;612.00;27.88;E0_1_5000m;5.00;51;51;3.05;28.02
300.00;600.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;1680.00;26.44;E0_0_100m;5.00;140;139;8.79;26.64
300.00;600.00;1836.00;28.39;E0_1_100m;5.00;153;154;9.03;28.54
300.00;600.00;1668.00;26.24;E0_0_200m;5.00;139;139;8.83;26.55
300.00;600.00;1884.00;28.99;E0_1_200m;5.00;157;157;9.03;29.19
300.00;600.00;1680.00;25.91;E0_0_300m;5.00;140;139;8.99;26.27
300.00;600.00;1896.00;29.05;E0_1_300m;5.00;158;158;9.06;29.26
300.00;600.00;1644.00;25.57;E0_0_400m;5.00;137;137;8.93;25.99
300.00;600.00;1944.00;28.70;E0_1_400m;5.00;162;161;9.38;28.90
300.00;600.00;1644.00;25.26;E0_0_500m;5.00;137;138;9.09;25.70
300.00;600.00;1932.00;28.52;E0_1_500m;5.00;161;161;9.41;28.72
300.00;600.00;1644.00;25.00;E0_0_600m;5.00;137;138;9.16;25.48
300.00;600.00;1944.00;28.38;E0_1_600m;5.00;162;163;9.55;28.57
300.00;600.00;1644.00;24.77;E0_0_700m;5.00;137;137;9.22;25.23
300.00;600.00;1980.00;28.34;E0_1_700m;5.00;165;164;9.68;28.53
300.00;600.00;1692.00;24.63;E0_0_800m;5.00;141;142;9.58;25.07
300.00;600.00;1968.00;28.28;E0_1_800m;5.00;164;164;9.66;28.48
300.00;600.00;1680.00;24.48;E0_0_900m;5.00;140;140;9.53;24.85
300.00;600.00;2028.00;28.16;E0_1_900m;5.00;169;169;10.00;28.36
300.00;600.00;1668.00;24.40;E0_0_1000m;5.00;139;139;9.49;24.71
300.00;600.00;2064.00;28.04;E0_1_1000m;5.00;172;171;10.17;28.22
300.00;600.00;1644.00;24.33;E0_0_1100m;5.00;137;137;9.39;24.61
300.00;600.00;2076.00;27.86;E0_1_1100m;5.00;173;174;10.39;28.03
300.00;600.00;1608.00;24.24;E0_0_1200m;5.00;134;134;9.21;24.54
300.00;600.00;2124.00;27.85;E0_1_1200m;5.00;177;177;10.59;28.03
300.00;600.00;1584.00;24.01;E0_0_1300m;5.00;132;132;9.16;24.32
300.00;600.00;2100.00;27.84;E0_1_1300m;5.00;175;176;10.53;28.00
300.00;600.00;1596.00;23.74;E0_0_1400m;5.00;133;133;9.34;24.06
300.00;600.00;2088.00;27.78;E0_1_1400m;5.00;174;174;10.44;27.94
300.00;600.00;1596.00;23.59;E0_0_1500m;5.00;133;133;9.40;23.91
300.00;600.00;2076.00;27.71;E0_1_1500m;5.00;173;173;10.41;27.87
300.00;600.00;1632.00;23.77;E0_0_1600m;5.00;136;136;9.54;24.09
