scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,300.0,E0,3200,4014.3999999999996,24.522500000000004,E0_3200m
attack,300.0,E0,3300,4013.6,24.4985,E0_3300m
attack,300.0,E0,3400,4016.0,24.454666666666668,E0_3400m
attack,300.0,E0,3500,4024.0,24.4275,E0_3500m
attack,300.0,E0,3600,4031.6,24.396166666666666,E0_3600m
attack,300.0,E0,3700,4034.0,24.361000000000004,E0_3700m
attack,300.0,E0,3800,4040.0,24.33133333333334,E0_3800m
attack,300.0,E0,3900,4042.0,24.309666666666665,E0_3900m
attack,300.0,E0,4000,4039.6,24.284833333333328,E0_4000m
attack,300.0,E0,4100,4034.8,24.276833333333336,E0_4100m
attack,300.0,E0,4200,4027.6,24.257666666666665,E0_4200m
attack,300.0,E0,4300,4021.2,24.246833333333335,E0_4300m
attack,300.0,E0,4400,4014.0,24.245166666666663,E0_4400m
attack,300.0,E0,4500,4011.6,24.257833333333334,E0_4500m
attack,300.0,E0,4600,4017.6,24.276666666666664,E0_4600m
attack,300.0,E0,4700,4025.6,24.302166666666672,E0_4700m
attack,300.0,E0,4800,4031.6,24.333833333333335,E0_4800m
attack,300.0,E0,4900,4026.0,24.385166666666667,E0_4900m
attack,300.0,E0,5000,4008.3999999999996,24.462000000000003,E0_5000m
attack,600.0,E0,0,0.0,-1.0,E0_0m
attack,600.0,E0,100,4074.7999999999997,26.5375,E0_100m
attack,600.0,E0,200,4076.4,26.747999999999998,E0_200m
attack,600.0,E0,300,4075.2,26.705499999999997,E0_300m
attack,600.0,E0,400,4068.4,26.608000000000004,E0_400m
attack,600.0,E0,500,4068.3999999999996,26.4775,E0_500m
attack,600.0,E0,600,4070.0,26.347166666666666,E0_600m
attack,600.0,E0,700,4074.3999999999996,26.234,E0_700m
attack,600.0,E0,800,4074.0,26.11683333333334,E0_800m
attack,600.0,E0,900,4070.4,26.002333333333333,E0_900m
attack,600.0,E0,1000,4066.7999999999997,25.887,E0_1000m
attack,600.0,E0,1100,4068.8,25.80783333333333,E0_1100m
attack,600.0,E0,1200,4068.8,25.721333333333334,E0_1200m
attack,600.0,E0,1300,4074.3999999999996,25.637666666666668,E0_1300m
attack,600.0,E0,1400,4079.2,25.541500000000003,E0_1400m
attack,600.0,E0,1500,4077.6,25.482499999999995,E0_1500m
attack,600.0,E0,1600,4068.0,25.433833333333332,E0_1600m
attack,600.0,E0,1700,4059.2,25.371499999999997,E0_1700m
attack,600.0,E0,1800,4062.8,25.316500000000005,E0_1800m
attack,600.0,E0,1900,4058.8,25.26266666666667,E0_1900m
attack,600.0,E0,2000,4056.3999999999996,25.22,E0_2000m
attack,600.0,E0,2100,4059.2,25.176166666666667,E0_2100m
attack,600.0,E0,2200,4054.0,25.124333333333336,E0_2200m
attack,600.0,E0,2300,4056.8,25.047833333333337,E0_2300m
attack,600.0,E0,2400,4059.2000000000003,24.945833333333333,E0_2400m
attack,600.0,E0,2500,4065.6000000000004,24.805666666666667,E0_2500m
attack,600.0,E0,2600,4068.4,24.616333333333337,E0_2600m
attack,600.0,E0,2700,4066.7999999999997,24.33383333333333,E0_2700m
attack,600.0,E0,2800,4058.8,23.899333333333338,E0_2800m
attack,600.0,E0,2900,4055.6000000000004,23.216333333333335,E0_2900m
attack,600.0,E0,3000,4052.0,22.148,E0_3000m
attack,600.0,E0,3100,4046.8,22.013333333333335,E0_3100m
attack,600.0,E0,3200,4042.4,22.096333333333334,E0_3200m
attack,600.0,E0,3300,4037.2,22.131333333333338,E0_3300m
attack,600.0,E0,3400,4021.6000000000004,22.142166666666668,E0_3400m
attack,600.0,E0,3500,4012.0,22.12183333333334,E0_3500m
attack,600.0,E0,3600,4004.4,22.112000000000002,E0_3600m
attack,600.0,E0,3700,3994.8,22.137833333333333,E0_3700m
attack,600.0,E0,3800,3982.8,22.133333333333333,E0_3800m
attack,600.0,E0,3900,3973.2,22.167333333333332,E0_3900m
attack,600.0,E0,4000,3970.0,23.077499999999997,E0_4000m
attack,600.0,E0,4100,3976.3999999999996,25.6265,E0_4100m
attack,600.0,E0,4200,3987.2,25.771333333333338,E0_4200m
attack,600.0,E0,4300,3995.6,25.69116666666666,E0_4300m
attack,600.0,E0,4400,4004.0,25.57333333333333,E0_4400m
attack,600.0,E0,4500,4011.6000000000004,25.447333333333333,E0_4500m
attack,600.0,E0,4600,4015.2,25.33716666666667,E0_4600m
attack,600.0,E0,4700,4018.0,25.263499999999997,E0_4700m
attack,600.0,E0,4800,4019.6000000000004,25.21033333333333,E0_4800m
attack,600.0,E0,4900,4026.8,25.177333333333337,E0_4900m
attack,600.0,E0,5000,4040.4,25.165666666666667,E0_5000m
attack,900.0,E0,0,0.0,-1.0,E0_0m
attack,900.0,E0,100,3984.0,26.775,E0_100m
attack,900.0,E0,200,3979.6000000000004,26.97783333333333,E0_200m
attack,900.0,E0,300,3979.2,26.935500000000005,E0_300m
attack,900.0,E0,400,3984.0,26.83283333333334,E0_400m
attack,900.0,E0,500,3985.2,26.6995,E0_500m
attack,900.0,E0,600,3992.8,26.556833333333334,E0_600m
attack,900.0,E0,700,3988.4,26.4195,E0_700m
attack,900.0,E0,800,3992.4,26.289166666666667,E0_800m
attack,900.0,E0,900,3994.3999999999996,26.157666666666664,E0_900m
attack,900.0,E0,1000,3991.2,26.06133333333333,E0_1000m
attack,900.0,E0,1100,3990.0,25.98116666666667,E0_1100m
attack,900.0,E0,1200,3982.8,25.921166666666668,E0_1200m
attack,900.0,E0,1300,3983.2,25.860833333333336,E0_1300m
attack,900.0,E0,1400,3981.6,25.795,E0_1400m
attack,900.0,E0,1500,3980.0,25.7425,E0_1500m
attack,900.0,E0,1600,3985.6,25.694666666666663,E0_1600m
attack,900.0,E0,1700,3998.3999999999996,25.63516666666667,E0_1700m
attack,900.0,E0,1800,3996.0,25.559666666666665,E0_1800m
attack,900.0,E0,1900,3996.4,25.512166666666666,E0_1900m
attack,900.0,E0,2000,4006.3999999999996,25.459833333333336,E0_2000m
attack,900.0,E0,2100,4012.0,25.413833333333336,E0_2100m
attack,900.0,E0,2200,4019.2000000000003,25.354833333333332,E0_2200m
attack,900.0,E0,2300,4026.0,25.298833333333338,E0_2300m
attack,900.0,E0,2400,4025.6,25.217,E0_2400m
attack,900.0,E0,2500,4019.6,25.102000000000004,E0_2500m
attack,900.0,E0,2600,4025.6,24.924500000000002,E0_2600m
attack,900.0,E0,2700,4026.8,24.639666666666663,E0_2700m
attack,900.0,E0,2800,4037.6,24.150999999999996,E0_2800m
attack,900.0,E0,2900,4040.0,23.402,E0_2900m
attack,900.0,E0,3000,4040.0,22.22683333333334,E0_3000m
attack,900.0,E0,3100,4037.6,22.081,E0_3100m
attack,900.0,E0,3200,4042.0,22.17066666666667,E0_3200m
attack,900.0,E0,3300,4047.2,22.19966666666667,E0_3300m
attack,900.0,E0,3400,4060.0,22.2025,E0_3400m
attack,900.0,E0,3500,4066.0,22.193000000000005,E0_3500m
attack,900.0,E0,3600,4073.6,22.184999999999995,E0_3600m
attack,900.0,E0,3700,4084.8,22.186500000000006,E0_3700m
attack,900.0,E0,3800,4088.0,22.204666666666668,E0_3800m
attack,900.0,E0,3900,4092.4,22.240666666666666,E0_3900m
attack,900.0,E0,4000,4089.6000000000004,23.1725,E0_4000m
attack,900.0,E0,4100,4094.3999999999996,25.984,E0_4100m
attack,900.0,E0,4200,4095.2,26.201,E0_4200m
attack,900.0,E0,4300,4094.0,26.118000000000002,E0_4300m
attack,900.0,E0,4400,4093.2000000000003,26.00066666666667,E0_4400m
attack,900.0,E0,4500,4091.2,25.892833333333332,E0_4500m
attack,900.0,E0,4600,4084.3999999999996,25.799166666666665,E0_4600m
attack,900.0,E0,4700,4076.3999999999996,25.724166666666665,E0_4700m
attack,900.0,E0,4800,4073.2,25.640500000000003,E0_4800m
attack,900.0,E0,4900,4066.8,25.567,E0_4900m
attack,900.0,E0,5000,4058.7999999999997,25.521499999999996,E0_5000m
attack,1200.0,E0,0,0.0,-1.0,E0_0m
attack,1200.0,E0,100,4021.6,26.531,E0_100m
attack,1200.0,E0,200,4029.2,26.713666666666665,E0_200m
attack,1200.0,E0,300,4027.6,26.642833333333336,E0_300m
attack,1200.0,E0,400,4029.6000000000004,26.5265,E0_400m
attack,1200.0,E0,500,4031.2,26.403333333333336,E0_500m
attack,1200.0,E0,600,4020.4,26.291666666666664,E0_600m
attack,1200.0,E0,700,4021.6,26.17966666666667,E0_700m
attack,1200.0,E0,800,4017.6000000000004,26.064666666666668,E0_800m
attack,1200.0,E0,900,4015.2000000000003,25.946500000000004,E0_900m
attack,1200.0,E0,1000,4011.2,25.821833333333334,E0_1000m
attack,1200.0,E0,1100,4013.2,25.718,E0_1100m
attack,1200.0,E0,1200,4012.8,25.618499999999997,E0_1200m
attack,1200.0,E0,1300,4003.2000000000003,25.518000000000004,E0_1300m
attack,1200.0,E0,1400,3998.0,25.443833333333338,E0_1400m
attack,1200.0,E0,1500,3997.2000000000003,25.375833333333333,E0_1500m
attack,1200.0,E0,1600,3993.6,25.2975,E0_1600m
attack,1200.0,E0,1700,3991.2,25.224333333333334,E0_1700m
attack,1200.0,E0,1800,3994.3999999999996,25.173999999999996,E0_1800m
attack,1200.0,E0,1900,4000.0,25.12633333333333,E0_1900m
attack,1200.0,E0,2000,3991.6000000000004,25.057666666666663,E0_2000m
attack,1200.0,E0,2100,3986.8,25.002166666666668,E0_2100m
attack,1200.0,E0,2200,3986.8,24.931833333333334,E0_2200m
attack,1200.0,E0,2300,3988.8,24.860500000000002,E0_2300m
attack,1200.0,E0,2400,3996.8,24.784000000000006,E0_2400m
attack,1200.0,E0,2500,4014.0,24.676833333333335,E0_2500m
attack,1200.0,E0,2600,4012.4,24.51716666666666,E0_2600m
attack,1200.0,E0,2700,4014.0,24.283166666666663,E0_2700m
attack,1200.0,E0,2800,4002.8,23.924,E0_2800m
attack,1200.0,E0,2900,4000.8,23.267000000000003,E0_2900m
attack,1200.0,E0,3000,3997.6,22.15383333333333,E0_3000m
attack,1200.0,E0,3100,3998.8,22.031833333333335,E0_3100m
attack,1200.0,E0,3200,3992.0,22.125833333333333,E0_3200m
attack,1200.0,E0,3300,3986.0,22.153166666666664,E0_3300m
attack,1200.0,E0,3400,3974.8,22.143166666666666,E0_3400m
attack,1200.0,E0,3500,3973.2000000000003,22.143166666666666,E0_3500m
attack,1200.0,E0,3600,3967.2,22.146166666666666,E0_3600m
