time_bin,detectorID,scenario,count,density
0.0,E0_0m,attack,1247.1666666666667,20.855629877369008
0.0,E0_0m,base,1247.1666666666667,20.855629877369008
0.0,E0_1000m,attack,1171.4333333333334,19.589186176142697
0.0,E0_1000m,base,1171.4333333333334,19.589186176142697
0.0,E0_100m,attack,1263.9666666666667,21.136566332218504
0.0,E0_100m,base,1263.9666666666667,21.136566332218504
0.0,E0_1100m,attack,1158.7666666666667,19.37736900780379
0.0,E0_1100m,base,1158.7666666666667,19.37736900780379
0.0,E0_1200m,attack,1147.5333333333333,19.18952062430323
0.0,E0_1200m,base,1147.5333333333333,19.18952062430323
0.0,E0_1300m,attack,1134.8,18.976588628762542
0.0,E0_1300m,base,1134.8,18.976588628762542
0.0,E0_1400m,attack,1121.3666666666666,18.75195094760312
0.0,E0_1400m,base,1121.3666666666666,18.75195094760312
0.0,E0_1500m,attack,1106.9,18.510033444816052
0.0,E0_1500m,base,1106.9,18.510033444816052
0.0,E0_1600m,attack,1091.0,18.244147157190636
0.0,E0_1600m,base,1091.0,18.244147157190636
0.0,E0_1700m,attack,1073.0333333333333,17.94370122630992
0.0,E0_1700m,base,1073.0333333333333,17.94370122630992
0.0,E0_1800m,attack,1058.2,17.695652173913043
0.0,E0_1800m,base,1058.2,17.695652173913043
0.0,E0_1900m,attack,1041.6333333333332,17.418617614269785
0.0,E0_1900m,base,1041.6333333333332,17.418617614269785
0.0,E0_2000m,attack,1024.7666666666667,17.136566332218504
0.0,E0_2000m,base,1024.7666666666667,17.136566332218504
0.0,E0_200m,attack,1258.7,21.048494983277592
0.0,E0_200m,base,1258.7,21.048494983277592
0.0,E0_2100m,attack,1007.8666666666667,16.85395763656633
0.0,E0_2100m,base,1007.8666666666667,16.85395763656633
0.0,E0_2200m,attack,988.7333333333333,16.5340022296544
0.0,E0_2200m,base,988.7333333333333,16.5340022296544
0.0,E0_2300m,attack,972.5,16.262541806020067
0.0,E0_2300m,base,972.5,16.262541806020067
0.0,E0_2400m,attack,954.0333333333333,15.953734671125973
0.0,E0_2400m,base,954.0333333333333,15.953734671125973
0.0,E0_2500m,attack,933.4,15.608695652173912
0.0,E0_2500m,base,933.4,15.608695652173912
0.0,E0_2600m,attack,914.7333333333333,15.296544035674469
0.0,E0_2600m,base,914.7333333333333,15.296544035674469
0.0,E0_2700m,attack,893.8,14.946488294314381
0.0,E0_2700m,base,893.8,14.946488294314381
0.0,E0_2800m,attack,871.7666666666667,14.57803790412486
0.0,E0_2800m,base,871.7666666666667,14.57803790412486
0.0,E0_2900m,attack,851.6,14.240802675585284
0.0,E0_2900m,base,851.6,14.240802675585284
0.0,E0_3000m,attack,832.2666666666667,13.917502787068003
0.0,E0_3000m,base,832.2666666666667,13.917502787068003
0.0,E0_300m,attack,1249.1333333333332,20.888517279821624
0.0,E0_300m,base,1249.1333333333332,20.888517279821624
0.0,E0_3100m,attack,812.1333333333333,13.580824972129319
0.0,E0_3100m,base,812.1333333333333,13.580824972129319
0.0,E0_3200m,attack,794.6333333333333,13.288182831661093
0.0,E0_3200m,base,794.6333333333333,13.288182831661093
0.0,E0_3300m,attack,774.4,12.949832775919733
0.0,E0_3300m,base,774.4,12.949832775919733
0.0,E0_3400m,attack,752.9333333333333,12.590858416945373
0.0,E0_3400m,base,752.9333333333333,12.590858416945373
0.0,E0_3500m,attack,731.3666666666667,12.230211817168337
0.0,E0_3500m,base,731.3666666666667,12.230211817168337
0.0,E0_3600m,attack,710.6666666666666,11.884057971014492
0.0,E0_3600m,base,710.6666666666666,11.884057971014492
0.0,E0_3700m,attack,689.1666666666666,11.524526198439242
0.0,E0_3700m,base,689.1666666666666,11.524526198439242
0.0,E0_3800m,attack,668.5,11.178929765886288
0.0,E0_3800m,base,668.5,11.178929765886288
0.0,E0_3900m,attack,650.1666666666666,10.872352285395763
0.0,E0_3900m,base,650.1666666666666,10.872352285395763
0.0,E0_4000m,attack,630.7666666666667,10.5479375696767
0.0,E0_4000m,base,630.7666666666667,10.5479375696767
0.0,E0_400m,attack,1238.7666666666667,20.715161649944257
0.0,E0_400m,base,1238.7666666666667,20.715161649944257
0.0,E0_4100m,attack,611.8333333333334,10.231326644370123
0.0,E0_4100m,base,611.8333333333334,10.231326644370123
0.0,E0_4200m,attack,593.1,9.918060200668897
0.0,E0_4200m,base,593.1,9.918060200668897
0.0,E0_4300m,attack,572.7666666666667,9.57803790412486
0.0,E0_4300m,base,572.7666666666667,9.57803790412486
0.0,E0_4400m,attack,552.6,9.240802675585284
0.0,E0_4400m,base,552.6,9.240802675585284
0.0,E0_4500m,attack,532.9666666666667,8.912486064659976
0.0,E0_4500m,base,532.9666666666667,8.912486064659976
0.0,E0_4600m,attack,510.93333333333334,8.544035674470457
0.0,E0_4600m,base,510.93333333333334,8.544035674470457
0.0,E0_4700m,attack,489.6333333333333,8.187848383500556
