time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
0.0,E0_0m,33.5708324,33.5708324,D,D,0
0.0,E0_100m,34.0214476,34.0214476,D,D,100
0.0,E0_200m,33.876607,33.876607,D,D,200
0.0,E0_300m,33.6191126,33.6191126,D,D,300
0.0,E0_400m,33.3455248,33.3455248,D,D,400
0.0,E0_500m,33.0880304,33.0880304,D,D,500
0.0,E0_600m,32.830535999999995,32.830535999999995,D,D,600
0.0,E0_700m,32.508668,32.508668,D,D,700
0.0,E0_800m,32.170706599999995,32.170706599999995,D,D,800
0.0,E0_900m,31.848838599999997,31.848838599999997,D,D,900
0.0,E0_1000m,31.5269706,31.5269706,D,D,1000
0.0,E0_1100m,31.189009199999997,31.189009199999997,D,D,1100
0.0,E0_1200m,30.8832346,30.8832346,D,D,1200
0.0,E0_1300m,30.5452732,30.5452732,D,D,1300
0.0,E0_1400m,30.175125,30.175125,D,D,1400
0.0,E0_1500m,29.788883400000003,29.788883400000003,D,D,1500
0.0,E0_1600m,29.354361599999997,29.354361599999997,D,D,1600
0.0,E0_1700m,28.8715596,28.8715596,D,D,1700
0.0,E0_1800m,28.485318,28.485318,D,D,1800
0.0,E0_1900m,28.0347028,28.0347028,D,D,1900
0.0,E0_2000m,27.5840876,27.5840876,D,D,2000
0.0,E0_2100m,27.117379000000003,27.117379000000003,D,D,2100
0.0,E0_2200m,26.602390200000002,26.602390200000002,D,D,2200
0.0,E0_2300m,26.167868400000003,26.167868400000003,D,D,2300
0.0,E0_2400m,25.668972999999998,25.668972999999998,C,C,2400
0.0,E0_2500m,25.1217974,25.1217974,C,C,2500
0.0,E0_2600m,24.622902,24.622902,C,C,2600
0.0,E0_2700m,24.059632999999998,24.059632999999998,C,C,2700
0.0,E0_2800m,23.4641772,23.4641772,C,C,2800
0.0,E0_2900m,22.9170016,22.9170016,C,C,2900
0.0,E0_3000m,22.4020128,22.4020128,C,C,3000
0.0,E0_3100m,21.8548372,21.8548372,C,C,3100
0.0,E0_3200m,21.388128599999998,21.388128599999998,C,C,3200
0.0,E0_3300m,20.840953,20.840953,C,C,3300
0.0,E0_3400m,20.261590599999998,20.261590599999998,C,C,3400
0.0,E0_3500m,19.6822282,19.6822282,C,C,3500
0.0,E0_3600m,19.118959200000003,19.118959200000003,C,C,3600
0.0,E0_3700m,18.539596799999998,18.539596799999998,C,C,3700
0.0,E0_3800m,17.9924212,17.9924212,B,B,3800
0.0,E0_3900m,17.493525799999997,17.493525799999997,B,B,3900
0.0,E0_4000m,16.978537,16.978537,B,B,4000
0.0,E0_4100m,16.4635482,16.4635482,B,B,4100
0.0,E0_4200m,15.9646528,15.9646528,B,B,4200
0.0,E0_4300m,15.4174772,15.4174772,B,B,4300
0.0,E0_4400m,14.8703016,14.8703016,B,B,4400
0.0,E0_4500m,14.3392194,14.3392194,B,B,4500
0.0,E0_4600m,13.7437636,13.7437636,B,B,4600
0.0,E0_4700m,13.1804946,13.1804946,B,B,4700
0.0,E0_4800m,12.649412400000001,12.649412400000001,B,B,4800
0.0,E0_4900m,12.150516999999999,12.150516999999999,B,B,4900
300.0,E0_0m,34.8583044,34.8583044,D,D,0
300.0,E0_100m,35.3411064,35.3411064,E,E,100
300.0,E0_200m,35.2606394,35.2606394,E,E,200
300.0,E0_300m,35.389386599999995,35.389386599999995,E,E,300
300.0,E0_400m,35.6629744,35.6629744,E,E,400
300.0,E0_500m,35.807815,35.807815,E,E,500
300.0,E0_600m,36.0009358,36.0009358,E,E,600
300.0,E0_700m,36.1618698,36.1618698,E,E,700
300.0,E0_800m,36.2584302,36.2584302,E,E,800
300.0,E0_900m,36.515924600000005,36.515924600000005,E,E,900
300.0,E0_1000m,36.7251388,36.7251388,E,E,1000
300.0,E0_1100m,36.9182596,36.9182596,E,E,1100
300.0,E0_1200m,37.01482,37.01482,E,E,1200
300.0,E0_1300m,37.175754000000005,37.175754000000005,E,E,1300
300.0,E0_1400m,37.2240342,37.2240342,E,E,1400
300.0,E0_1500m,37.3205946,37.3205946,E,E,1500
300.0,E0_1600m,37.433248400000004,37.433248400000004,E,E,1600
300.0,E0_1700m,37.5619956,37.5619956,E,E,1700
300.0,E0_1800m,37.658556,37.658556,E,E,1800
300.0,E0_1900m,37.7068362,37.7068362,E,E,1900
300.0,E0_2000m,37.787303200000004,37.787303200000004,E,E,2000
300.0,E0_2100m,37.81949,37.81949,E,E,2100
300.0,E0_2200m,37.8838636,37.8838636,E,E,2200
300.0,E0_2300m,37.916050399999996,37.916050399999996,E,E,2300
300.0,E0_2400m,37.9321438,37.9321438,E,E,2400
300.0,E0_2500m,37.9321438,37.9321438,E,E,2500
300.0,E0_2600m,38.012610800000004,38.012610800000004,E,E,2600
300.0,E0_2700m,38.0769844,38.0769844,E,E,2700
300.0,E0_2800m,38.1574514,38.1574514,E,E,2800
300.0,E0_2900m,38.2057316,38.2057316,E,E,2900
300.0,E0_3000m,38.3666656,38.3666656,E,E,3000
300.0,E0_3100m,38.4310392,38.4310392,E,E,3100
300.0,E0_3200m,38.4310392,38.4310392,E,E,3200
300.0,E0_3300m,38.5115062,38.5115062,E,E,3300
300.0,E0_3400m,38.5919732,38.5919732,E,E,3400
300.0,E0_3500m,38.7207204,38.7207204,E,E,3500
300.0,E0_3600m,38.785094,38.785094,E,E,3600
300.0,E0_3700m,38.8816544,38.8816544,E,E,3700
300.0,E0_3800m,38.946028,38.946028,E,E,3800
300.0,E0_3900m,39.0425884,39.0425884,E,E,3900
300.0,E0_4000m,38.978214799999996,38.978214799999996,E,E,4000
300.0,E0_4100m,38.978214799999996,38.978214799999996,E,E,4100
300.0,E0_4200m,38.865561,38.865561,E,E,4200
300.0,E0_4300m,38.865561,38.865561,E,E,4300
300.0,E0_4400m,38.7690006,38.7690006,E,E,4400
300.0,E0_4500m,38.785094,38.785094,E,E,4500
300.0,E0_4600m,38.849467600000004,38.849467600000004,E,E,4600
300.0,E0_4700m,38.849467600000004,38.849467600000004,E,E,4700
300.0,E0_4800m,38.752907199999996,38.752907199999996,E,E,4800
300.0,E0_4900m,38.495412800000004,38.495412800000004,E,E,4900
600.0,E0_0m,35.5503206,35.0997054,E,E,0
600.0,E0_100m,35.807815,35.5986008,E,E,100
600.0,E0_200m,35.791721599999995,35.6307876,E,E,200
600.0,E0_300m,35.888282000000004,35.711254600000004,E,E,300
600.0,E0_400m,35.9365622,35.840001799999996,E,E,400
600.0,E0_500m,36.194056599999996,36.129683,E,E,500
600.0,E0_600m,36.3549906,36.2745236,E,E,600
600.0,E0_700m,36.5642048,36.4998312,E,E,700
600.0,E0_800m,36.6285784,36.5481114,E,E,800
600.0,E0_900m,36.7895124,36.692952,E,E,900
600.0,E0_1000m,36.950446400000004,36.853885999999996,E,E,1000
600.0,E0_1100m,37.01482,37.01482,E,E,1100
600.0,E0_1200m,37.1918474,37.1596606,E,E,1200
600.0,E0_1300m,37.3527814,37.3045012,E,E,1300
600.0,E0_1400m,37.513715399999995,37.513715399999995,E,E,1400
600.0,E0_1500m,37.5298088,37.497622,E,E,1500
600.0,E0_1600m,37.497622,37.4654352,E,E,1600
600.0,E0_1700m,37.5941824,37.5941824,E,E,1700
600.0,E0_1800m,37.6907428,37.658556,E,E,1800
600.0,E0_1900m,37.7229296,37.7068362,E,E,1900
600.0,E0_2000m,37.787303200000004,37.787303200000004,E,E,2000
600.0,E0_2100m,37.835583400000004,37.8516768,E,E,2100
600.0,E0_2200m,37.9321438,37.9965174,E,E,2200
600.0,E0_2300m,38.1091712,38.0930778,E,E,2300
600.0,E0_2400m,38.3344788,38.1574514,E,E,2400
600.0,E0_2500m,38.6563468,38.350572199999995,E,E,2500
600.0,E0_2600m,39.010401599999994,38.4310392,E,E,2600
600.0,E0_2700m,39.5414838,38.495412800000004,E,E,2700
600.0,E0_2800m,40.4266208,38.543693,E,E,2800
600.0,E0_2900m,41.8267466,38.575879799999996,E,E,2900
600.0,E0_3000m,43.1946856,38.6563468,E,E,3000
600.0,E0_3100m,42.9854714,38.785094,E,E,3100
600.0,E0_3200m,42.8728176,38.897747800000005,E,E,3200
600.0,E0_3300m,42.727977,39.010401599999994,E,E,3300
600.0,E0_3400m,42.567043,39.010401599999994,E,E,3400
