time_bin,detectorID,density_attack,density_base
0.0,E0_0m,20.86,20.86
0.0,E0_1000m,19.59,19.59
0.0,E0_100m,21.14,21.14
0.0,E0_1100m,19.38,19.38
0.0,E0_1200m,19.19,19.19
0.0,E0_1300m,18.98,18.98
0.0,E0_1400m,18.75,18.75
0.0,E0_1500m,18.51,18.51
0.0,E0_1600m,18.24,18.24
0.0,E0_1700m,17.94,17.94
0.0,E0_1800m,17.7,17.7
0.0,E0_1900m,17.42,17.42
0.0,E0_2000m,17.14,17.14
0.0,E0_200m,21.05,21.05
0.0,E0_2100m,16.85,16.85
0.0,E0_2200m,16.53,16.53
0.0,E0_2300m,16.26,16.26
0.0,E0_2400m,15.95,15.95
0.0,E0_2500m,15.61,15.61
0.0,E0_2600m,15.3,15.3
0.0,E0_2700m,14.95,14.95
0.0,E0_2800m,14.58,14.58
0.0,E0_2900m,14.24,14.24
0.0,E0_3000m,13.92,13.92
0.0,E0_300m,20.89,20.89
0.0,E0_3100m,13.58,13.58
0.0,E0_3200m,13.29,13.29
0.0,E0_3300m,12.95,12.95
0.0,E0_3400m,12.59,12.59
0.0,E0_3500m,12.23,12.23
0.0,E0_3600m,11.88,11.88
0.0,E0_3700m,11.52,11.52
0.0,E0_3800m,11.18,11.18
0.0,E0_3900m,10.87,10.87
0.0,E0_4000m,10.55,10.55
0.0,E0_400m,20.72,20.72
0.0,E0_4100m,10.23,10.23
0.0,E0_4200m,9.92,9.92
0.0,E0_4300m,9.58,9.58
0.0,E0_4400m,9.24,9.24
0.0,E0_4500m,8.91,8.91
0.0,E0_4600m,8.54,8.54
0.0,E0_4700m,8.19,8.19
0.0,E0_4800m,7.86,7.86
0.0,E0_4900m,7.55,7.55
0.0,E0_500m,20.56,20.56
0.0,E0_600m,20.4,20.4
0.0,E0_700m,20.2,20.2
0.0,E0_800m,19.99,19.99
0.0,E0_900m,19.79,19.79
300.0,E0_0m,21.66,21.66
300.0,E0_1000m,22.82,22.82
300.0,E0_100m,21.96,21.96
300.0,E0_1100m,22.94,22.94
300.0,E0_1200m,23.0,23.0
300.0,E0_1300m,23.1,23.1
300.0,E0_1400m,23.13,23.13
300.0,E0_1500m,23.19,23.19
300.0,E0_1600m,23.26,23.26
300.0,E0_1700m,23.34,23.34
300.0,E0_1800m,23.4,23.4
300.0,E0_1900m,23.43,23.43
300.0,E0_2000m,23.48,23.48
300.0,E0_200m,21.91,21.91
300.0,E0_2100m,23.5,23.5
300.0,E0_2200m,23.54,23.54
300.0,E0_2300m,23.56,23.56
300.0,E0_2400m,23.57,23.57
300.0,E0_2500m,23.57,23.57
300.0,E0_2600m,23.62,23.62
300.0,E0_2700m,23.66,23.66
300.0,E0_2800m,23.71,23.71
300.0,E0_2900m,23.74,23.74
300.0,E0_3000m,23.84,23.84
300.0,E0_300m,21.99,21.99
300.0,E0_3100m,23.88,23.88
300.0,E0_3200m,23.88,23.88
300.0,E0_3300m,23.93,23.93
300.0,E0_3400m,23.98,23.98
300.0,E0_3500m,24.06,24.06
300.0,E0_3600m,24.1,24.1
300.0,E0_3700m,24.16,24.16
300.0,E0_3800m,24.2,24.2
300.0,E0_3900m,24.26,24.26
300.0,E0_4000m,24.22,24.22
300.0,E0_400m,22.16,22.16
300.0,E0_4100m,24.22,24.22
300.0,E0_4200m,24.15,24.15
300.0,E0_4300m,24.15,24.15
300.0,E0_4400m,24.09,24.09
300.0,E0_4500m,24.1,24.1
300.0,E0_4600m,24.14,24.14
300.0,E0_4700m,24.14,24.14
300.0,E0_4800m,24.08,24.08
