Time (s),Vehicle ID,Acceleration (m/s^2),Speed (mph),Position,Scenario,Seed
29.7,f_0.13,-4.592778399345967,58.60549816755028,46.24341217426414,base,11114
52.7,f_0.23,-4.893606955888963,57.820443696469376,53.79769453199232,base,11114
52.8,f_0.23,-4.708245106506084,56.7672375156146,56.33541291136837,base,11114
52.9,f_0.23,-4.530780608163738,55.75372907825202,58.82782348466279,base,11114
66.0,f_0.29,-4.648691801415161,52.99517563167246,36.515464951324255,base,11114
452.6,f_0.183,-5.027435725675353,57.37754327330078,50.37649404783204,base,11114
452.7,f_0.183,-4.830367366673869,56.29701907558003,52.89319181690855,base,11114
452.8,f_0.183,-4.641995652650408,55.25863250005605,55.36346962945855,base,11114
926.0,f_0.367,-4.500000000000028,73.17581709484153,295.23952020556146,base,11114
1231.7,f_0.473,-4.7527275342259045,53.178770854059046,85.08495884548566,base,11114
1231.8,f_0.473,-4.584138695207507,52.1533265327733,87.41641729018124,base,11114
1743.5,f_0.650,-4.568670339040111,53.79848969093876,42.74492040700114,base,11114
1777.9,f_0.660,-4.559655597575443,54.951627597557476,48.31528577304832,base,11114
2169.8,f_0.806,-5.25224689352406,46.740089699666925,41.272297161631656,base,11114
2169.9,f_0.806,-5.004215546887423,45.62067670712149,43.31172051259867,base,11114
2170.0,f_0.806,-4.7689205691353465,44.553897789329326,45.303454657874326,base,11114
2170.1,f_0.806,-4.545818409066911,43.53702548613151,47.249730619059314,base,11114
2977.5,f_1.957,-4.959506887320693,50.877693077902435,81.75184100445495,base,11114
2977.6,f_1.957,-4.681722850897643,49.83041976649374,83.979456397201,base,11114
2977.7,f_1.957,-4.53256689295749,48.8165117479405,86.16174612101749,base,11114
3753.4,f_0.1348,-5.074016975775422,66.69423343055763,121.41732301939564,base,11114
3753.5,f_0.1348,-4.890401188229809,65.60028002715775,124.34991307666841,base,11114
3753.6,f_0.1348,-4.7147922454309565,64.54560929060831,127.23535521148689,base,11114
3753.7,f_0.1348,-4.546830719937454,63.52851053954262,130.07532903910598,base,11114
3963.2,f_0.1381,-4.547654537008476,54.520436465865025,2953.521062275967,base,11114
4379.5,f_0.1561,-4.866899649916441,62.88467821127087,104.19085939428317,base,11114
4379.6,f_0.1561,-4.691629903518582,61.83518875163318,106.95513509017279,base,11114
4379.7,f_0.1561,-4.523777900871231,60.823246777875696,109.6741730070537,base,11114
4440.9,f_0.1587,-4.535060821246724,56.79221987023238,41.86972953377503,base,11114
6006.1,f_0.2127,-5.076299126258128,54.72784458075082,51.536169343990025,base,11114
6006.2,f_0.2127,-4.865703131808488,53.63941598438405,53.93406182140936,base,11114
6006.3,f_0.2127,-4.664961545119439,52.595892076510104,56.2853046833775,base,11114
6354.0,f_0.2226,-4.861179475456794,57.35591891298831,60.89462618976405,base,11114
6354.1,f_0.2226,-4.6814721681284155,56.30870167781099,63.411846217024994,base,11114
6354.2,f_0.2226,-4.509196234473407,55.3000215353367,65.8839742819412,base,11114
6364.9,f_0.2229,-4.860926864245982,56.448875140669365,49.52516207424014,base,11114
6365.0,f_0.2229,-4.673575085435644,55.40342443550792,52.00191265474333,base,11114
7027.1,f_0.2448,-5.189867389175085,56.57760574909582,78.40252005838519,base,11114
7027.2,f_0.2448,-4.998607988761101,55.45944713365789,80.88177507343512,base,11114
7027.3,f_0.2448,-4.771353205787108,54.39212404964255,83.31331655642718,base,11114
7027.4,f_0.2448,-4.593185926305132,53.36465591704365,85.69892618015619,base,11114
7784.1,f_0.2725,-4.964974962387423,58.08940612143452,47.980228028381596,base,11114
7784.2,f_0.2725,-4.772581854129072,57.021808196156975,50.529326716596614,base,11114
7784.3,f_0.2725,-4.588651808328308,55.995354318544784,53.03253888672835,base,11114
7796.4,f_0.2729,-5.088132257225304,52.52039122345225,30.21917937085739,base,11114
7796.5,f_0.2729,-4.867688133645238,51.43151859408461,32.518370166948685,base,11114
7796.6,f_0.2729,-4.658033007173117,50.38954455857803,34.77098063296825,base,11114
