interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
300.0,E0_1300m,E0,1300,1.0,1.0,25.84,25.84,4062.0,4062.0
300.0,E0_1400m,E0,1400,1.0,1.0,25.78,25.78,4056.8,4056.8
300.0,E0_1500m,E0,1500,1.0,1.0,25.72,25.72,4058.8,4058.8
300.0,E0_1600m,E0,1600,1.0,1.0,25.67,25.67,4064.0,4064.0
300.0,E0_1700m,E0,1700,1.0,1.0,25.63,25.63,4066.0,4066.0
300.0,E0_1800m,E0,1800,1.0,1.0,25.58,25.58,4070.8,4070.8
300.0,E0_1900m,E0,1900,1.0,1.0,25.51,25.51,4068.4,4068.4
300.0,E0_2000m,E0,2000,1.0,1.0,25.45,25.45,4059.6,4059.6
300.0,E0_2100m,E0,2100,1.0,1.0,25.39,25.39,4056.0,4056.0
300.0,E0_2200m,E0,2200,1.0,1.0,25.35,25.35,4050.0,4050.0
300.0,E0_2300m,E0,2300,1.0,1.0,25.31,25.31,4046.0,4046.0
300.0,E0_2400m,E0,2400,1.0,1.0,25.27,25.27,4037.6,4037.6
300.0,E0_2500m,E0,2500,1.0,1.0,25.24,25.24,4037.6,4037.6
300.0,E0_2600m,E0,2600,1.0,1.0,25.21,25.21,4035.2,4035.2
300.0,E0_2700m,E0,2700,1.0,1.0,25.17,25.17,4036.0,4036.0
300.0,E0_2800m,E0,2800,1.0,1.0,25.16,25.16,4032.8,4032.8
300.0,E0_2900m,E0,2900,1.0,1.0,25.15,25.15,4035.6,4035.6
300.0,E0_3000m,E0,3000,1.0,1.0,25.14,25.14,4034.8,4034.8
300.0,E0_3100m,E0,3100,1.0,1.0,25.12,25.12,4029.6,4029.6
300.0,E0_3200m,E0,3200,1.0,1.0,25.12,25.12,4028.8,4028.8
300.0,E0_3300m,E0,3300,1.0,1.0,25.1,25.1,4031.2,4031.2
300.0,E0_3400m,E0,3400,1.0,1.0,25.09,25.09,4032.4,4032.4
300.0,E0_3500m,E0,3500,1.0,1.0,25.05,25.05,4032.4,4032.4
300.0,E0_3600m,E0,3600,1.0,1.0,25.02,25.02,4030.4,4030.4
300.0,E0_3700m,E0,3700,1.0,1.0,25.01,25.01,4033.6,4033.6
300.0,E0_3800m,E0,3800,1.0,1.0,25.0,25.0,4028.0,4028.0
300.0,E0_3900m,E0,3900,1.0,1.0,24.97,24.97,4027.6,4027.6
300.0,E0_4000m,E0,4000,1.0,1.0,24.95,24.95,4019.6,4019.6
300.0,E0_4100m,E0,4100,1.0,1.0,24.93,24.93,4020.0,4020.0
300.0,E0_4200m,E0,4200,1.0,1.0,24.92,24.92,4006.8,4006.8
300.0,E0_4300m,E0,4300,1.0,1.0,24.91,24.91,4003.2,4003.2
300.0,E0_4400m,E0,4400,1.0,1.0,24.91,24.91,4001.2,4001.2
300.0,E0_4500m,E0,4500,1.0,1.0,24.9,24.9,3994.0,3994.0
300.0,E0_4600m,E0,4600,1.0,1.0,24.89,24.89,3982.0,3982.0
300.0,E0_4700m,E0,4700,1.0,1.0,24.9,24.9,3969.2,3969.2
300.0,E0_4800m,E0,4800,1.0,1.0,24.94,24.94,3954.4,3954.4
300.0,E0_4900m,E0,4900,1.0,1.0,24.98,24.98,3945.6,3945.6
300.0,E0_5000m,E0,5000,1.0,1.0,25.02,25.02,3928.4,3928.4
600.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
600.0,E0_100m,E0,100,0.99,1.0,26.69,26.92,4042.8,4042.4
600.0,E0_200m,E0,200,0.99,1.0,26.83,26.98,4041.2,4040.0
600.0,E0_300m,E0,300,1.0,1.0,26.77,26.89,4042.8,4042.0
600.0,E0_400m,E0,400,1.0,1.0,26.69,26.79,4042.4,4043.6
600.0,E0_500m,E0,500,1.0,1.0,26.6,26.68,4044.0,4044.8
600.0,E0_600m,E0,600,1.0,1.0,26.49,26.58,4046.4,4044.8
600.0,E0_700m,E0,700,1.0,1.0,26.37,26.47,4044.4,4044.4
600.0,E0_800m,E0,800,1.0,1.0,26.24,26.34,4050.8,4050.4
600.0,E0_900m,E0,900,1.0,1.0,26.15,26.23,4050.0,4050.0
600.0,E0_1000m,E0,1000,1.0,1.0,26.04,26.12,4047.2,4047.2
