interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;1764.00;27.03;E0_0_100m;5.00;147;147;9.07;27.16
0.00;300.00;2148.00;28.01;E0_1_100m;5.00;179;179;10.65;28.14
0.00;300.00;1764.00;26.75;E0_0_200m;5.00;147;147;9.16;26.91
0.00;300.00;2124.00;27.77;E0_1_200m;5.00;177;177;10.62;27.94
0.00;300.00;1728.00;26.56;E0_0_300m;5.00;144;145;9.09;26.72
0.00;300.00;2100.00;27.64;E0_1_300m;5.00;175;175;10.55;27.83
0.00;300.00;1692.00;26.35;E0_0_400m;5.00;141;141;8.92;26.53
0.00;300.00;2088.00;27.58;E0_1_400m;5.00;174;174;10.51;27.76
0.00;300.00;1668.00;26.24;E0_0_500m;5.00;139;139;8.83;26.41
0.00;300.00;2052.00;27.38;E0_1_500m;5.00;171;172;10.41;27.55
0.00;300.00;1632.00;26.21;E0_0_600m;5.00;136;136;8.65;26.38
0.00;300.00;2028.00;27.25;E0_1_600m;5.00;169;169;10.34;27.42
0.00;300.00;1644.00;26.07;E0_0_700m;5.00;137;137;8.76;26.23
0.00;300.00;1980.00;27.18;E0_1_700m;5.00;165;165;10.12;27.35
0.00;300.00;1656.00;25.96;E0_0_800m;5.00;138;138;8.86;26.14
0.00;300.00;1944.00;27.09;E0_1_800m;5.00;162;163;9.98;27.26
0.00;300.00;1656.00;25.93;E0_0_900m;5.00;138;138;8.87;26.09
0.00;300.00;1884.00;27.08;E0_1_900m;5.00;157;157;9.66;27.24
0.00;300.00;1644.00;25.74;E0_0_1000m;5.00;137;137;8.87;25.89
0.00;300.00;1848.00;27.12;E0_1_1000m;5.00;154;155;9.49;27.25
0.00;300.00;1584.00;25.77;E0_0_1100m;5.00;132;133;8.56;25.90
0.00;300.00;1848.00;26.96;E0_1_1100m;5.00;154;154;9.52;27.11
0.00;300.00;1536.00;25.68;E0_0_1200m;5.00;128;128;8.31;25.83
0.00;300.00;1836.00;26.97;E0_1_1200m;5.00;153;153;9.46;27.13
0.00;300.00;1524.00;25.63;E0_0_1300m;5.00;127;127;8.26;25.78
0.00;300.00;1776.00;26.97;E0_1_1300m;5.00;148;149;9.20;27.15
0.00;300.00;1500.00;25.66;E0_0_1400m;5.00;125;126;8.16;25.82
0.00;300.00;1728.00;26.89;E0_1_1400m;5.00;144;145;8.98;27.06
0.00;300.00;1464.00;25.70;E0_0_1500m;5.00;122;122;7.91;25.86
0.00;300.00;1692.00;26.83;E0_1_1500m;5.00;141;141;8.76;26.99
0.00;300.00;1428.00;25.73;E0_0_1600m;5.00;119;119;7.71;25.87
0.00;300.00;1656.00;26.80;E0_1_1600m;5.00;138;138;8.58;26.95
0.00;300.00;1380.00;25.66;E0_0_1700m;5.00;115;115;7.47;25.79
0.00;300.00;1632.00;26.88;E0_1_1700m;5.00;136;136;8.43;27.00
0.00;300.00;1356.00;25.69;E0_0_1800m;5.00;113;113;7.33;25.81
0.00;300.00;1596.00;26.94;E0_1_1800m;5.00;133;134;8.27;27.03
0.00;300.00;1368.00;25.77;E0_0_1900m;5.00;114;114;7.37;25.89
0.00;300.00;1560.00;26.97;E0_1_1900m;5.00;130;130;8.03;27.07
0.00;300.00;1344.00;25.72;E0_0_2000m;5.00;112;113;7.30;25.83
0.00;300.00;1584.00;26.95;E0_1_2000m;5.00;132;132;8.16;27.05
0.00;300.00;1332.00;25.66;E0_0_2100m;5.00;111;111;7.21;25.76
0.00;300.00;1596.00;26.89;E0_1_2100m;5.00;133;133;8.24;27.00
0.00;300.00;1320.00;25.63;E0_0_2200m;5.00;110;110;7.15;25.72
0.00;300.00;1596.00;26.92;E0_1_2200m;5.00;133;133;8.23;27.02
0.00;300.00;1308.00;25.59;E0_0_2300m;5.00;109;109;7.10;25.68
0.00;300.00;1596.00;27.01;E0_1_2300m;5.00;133;133;8.21;27.12
0.00;300.00;1320.00;25.66;E0_0_2400m;5.00;110;110;7.14;25.75
0.00;300.00;1584.00;27.15;E0_1_2400m;5.00;132;132;8.10;27.26
0.00;300.00;1320.00;25.68;E0_0_2500m;5.00;110;110;7.14;25.77
0.00;300.00;1560.00;27.43;E0_1_2500m;5.00;130;130;7.90;27.56
0.00;300.00;1296.00;25.75;E0_0_2600m;5.00;108;108;6.99;25.85
0.00;300.00;1524.00;27.59;E0_1_2600m;5.00;127;127;7.67;27.72
0.00;300.00;1308.00;25.65;E0_0_2700m;5.00;109;109;7.08;25.75
0.00;300.00;1476.00;27.77;E0_1_2700m;5.00;123;123;7.38;27.89
0.00;300.00;1296.00;25.55;E0_0_2800m;5.00;108;108;7.05;25.64
0.00;300.00;1464.00;27.75;E0_1_2800m;5.00;122;122;7.33;27.85
0.00;300.00;1284.00;25.54;E0_0_2900m;5.00;107;107;6.98;25.62
0.00;300.00;1452.00;27.88;E0_1_2900m;5.00;121;121;7.23;27.99
0.00;300.00;1260.00;25.49;E0_0_3000m;5.00;105;105;6.86;25.56
0.00;300.00;1416.00;27.83;E0_1_3000m;5.00;118;118;7.07;27.95
0.00;300.00;1212.00;25.39;E0_0_3100m;5.00;101;101;6.63;25.45
0.00;300.00;1404.00;27.73;E0_1_3100m;5.00;117;118;7.06;27.86
0.00;300.00;1188.00;25.38;E0_0_3200m;5.00;99;99;6.50;25.43
0.00;300.00;1380.00;27.68;E0_1_3200m;5.00;115;115;6.92;27.82
0.00;300.00;1140.00;25.35;E0_0_3300m;5.00;95;95;6.25;25.40
0.00;300.00;1356.00;27.68;E0_1_3300m;5.00;113;114;6.83;27.82
0.00;300.00;1140.00;25.36;E0_0_3400m;5.00;95;96;6.25;25.41
0.00;300.00;1308.00;27.73;E0_1_3400m;5.00;109;109;6.55;27.89
0.00;300.00;1116.00;25.31;E0_0_3500m;5.00;93;93;6.12;25.37
0.00;300.00;1272.00;27.72;E0_1_3500m;5.00;106;106;6.37;27.87
0.00;300.00;1068.00;25.31;E0_0_3600m;5.00;89;89;5.86;25.35
0.00;300.00;1248.00;27.63;E0_1_3600m;5.00;104;104;6.27;27.76
0.00;300.00;1020.00;25.34;E0_0_3700m;5.00;85;85;5.59;25.39
0.00;300.00;1224.00;27.60;E0_1_3700m;5.00;102;102;6.16;27.72
0.00;300.00;996.00;25.39;E0_0_3800m;5.00;83;83;5.45;25.44
0.00;300.00;1176.00;27.74;E0_1_3800m;5.00;98;98;5.89;27.86
0.00;300.00;960.00;25.42;E0_0_3900m;5.00;80;81;5.30;25.47
0.00;300.00;1140.00;27.88;E0_1_3900m;5.00;95;95;5.68;27.99
0.00;300.00;924.00;25.52;E0_0_4000m;5.00;77;77;5.03;25.58
0.00;300.00;1116.00;27.97;E0_1_4000m;5.00;93;93;5.54;28.07
0.00;300.00;900.00;25.55;E0_0_4100m;5.00;75;75;4.89;25.62
0.00;300.00;1068.00;28.17;E0_1_4100m;5.00;89;89;5.27;28.24
0.00;300.00;876.00;25.54;E0_0_4200m;5.00;73;73;4.76;25.59
0.00;300.00;1056.00;28.16;E0_1_4200m;5.00;88;88;5.21;28.23
0.00;300.00;864.00;25.57;E0_0_4300m;5.00;72;72;4.69;25.63
0.00;300.00;1068.00;28.11;E0_1_4300m;5.00;89;89;5.28;28.19
0.00;300.00;840.00;25.62;E0_0_4400m;5.00;70;70;4.55;25.68
0.00;300.00;1020.00;28.23;E0_1_4400m;5.00;85;86;5.02;28.31
0.00;300.00;804.00;25.81;E0_0_4500m;5.00;67;67;4.33;25.86
0.00;300.00;996.00;28.27;E0_1_4500m;5.00;83;83;4.89;28.36
0.00;300.00;768.00;25.89;E0_0_4600m;5.00;64;64;4.12;25.93
0.00;300.00;960.00;28.35;E0_1_4600m;5.00;80;80;4.70;28.45
0.00;300.00;720.00;25.99;E0_0_4700m;5.00;60;60;3.85;26.02
0.00;300.00;936.00;28.47;E0_1_4700m;5.00;78;78;4.57;28.57
0.00;300.00;720.00;26.05;E0_0_4800m;5.00;60;60;3.84;26.08
0.00;300.00;912.00;28.58;E0_1_4800m;5.00;76;76;4.43;28.68
0.00;300.00;696.00;26.07;E0_0_4900m;5.00;58;59;3.75;26.11
0.00;300.00;900.00;28.62;E0_1_4900m;5.00;75;75;4.37;28.71
0.00;300.00;684.00;26.13;E0_0_5000m;5.00;57;57;3.64;26.18
0.00;300.00;864.00;28.94;E0_1_5000m;5.00;72;73;4.17;29.03
300.00;600.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;1716.00;26.43;E0_0_100m;5.00;143;143;9.02;26.55
300.00;600.00;2340.00;27.39;E0_1_100m;5.00;195;195;11.87;27.53
300.00;600.00;1764.00;26.53;E0_0_200m;5.00;147;147;9.23;26.65
300.00;600.00;2292.00;27.86;E0_1_200m;5.00;191;191;11.43;28.03
300.00;600.00;1788.00;26.58;E0_0_300m;5.00;149;148;9.29;26.70
300.00;600.00;2280.00;27.77;E0_1_300m;5.00;190;190;11.40;27.93
300.00;600.00;1800.00;26.44;E0_0_400m;5.00;150;151;9.46;26.56
300.00;600.00;2244.00;27.67;E0_1_400m;5.00;187;187;11.26;27.83
300.00;600.00;1788.00;26.33;E0_0_500m;5.00;149;149;9.43;26.45
300.00;600.00;2268.00;27.54;E0_1_500m;5.00;189;188;11.43;27.69
300.00;600.00;1812.00;26.36;E0_0_600m;5.00;151;151;9.55;26.46
300.00;600.00;2256.00;27.45;E0_1_600m;5.00;188;188;11.42;27.60
300.00;600.00;1836.00;26.30;E0_0_700m;5.00;153;153;9.70;26.39
300.00;600.00;2220.00;27.42;E0_1_700m;5.00;185;185;11.24;27.57
300.00;600.00;1824.00;26.25;E0_0_800m;5.00;152;152;9.65;26.34
300.00;600.00;2196.00;27.43;E0_1_800m;5.00;183;184;11.13;27.59
300.00;600.00;1812.00;26.22;E0_0_900m;5.00;151;151;9.60;26.31
300.00;600.00;2232.00;27.37;E0_1_900m;5.00;186;186;11.33;27.52
300.00;600.00;1812.00;26.08;E0_0_1000m;5.00;151;151;9.65;26.18
300.00;600.00;2232.00;27.20;E0_1_1000m;5.00;186;185;11.37;27.36
300.00;600.00;1836.00;25.85;E0_0_1100m;5.00;153;154;9.86;25.94
300.00;600.00;2220.00;26.92;E0_1_1100m;5.00;185;185;11.45;27.07
300.00;600.00;1848.00;25.63;E0_0_1200m;5.00;154;154;10.01;25.72
300.00;600.00;2244.00;26.67;E0_1_1200m;5.00;187;187;11.69;26.82
300.00;600.00;1824.00;25.58;E0_0_1300m;5.00;152;152;9.90;25.67
300.00;600.00;2268.00;26.47;E0_1_1300m;5.00;189;188;11.85;26.62
300.00;600.00;1836.00;25.60;E0_0_1400m;5.00;153;152;9.93;25.69
300.00;600.00;2292.00;26.25;E0_1_1400m;5.00;191;190;12.07;26.40
300.00;600.00;1860.00;25.46;E0_0_1500m;5.00;155;155;10.15;25.56
300.00;600.00;2292.00;26.04;E0_1_1500m;5.00;191;191;12.23;26.19
300.00;600.00;1884.00;25.23;E0_0_1600m;5.00;157;157;10.37;25.35
