scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,0.0,E0,0,0.0,-1.0,E0_0m
attack,0.0,E0,100,3858.3999999999996,27.4895,E0_100m
attack,0.0,E0,200,3811.2,27.41833333333333,E0_200m
attack,0.0,E0,300,3759.6000000000004,27.262999999999995,E0_300m
attack,0.0,E0,400,3708.0,27.109,E0_400m
attack,0.0,E0,500,3658.0,26.98233333333333,E0_500m
attack,0.0,E0,600,3609.6000000000004,26.85833333333333,E0_600m
attack,0.0,E0,700,3558.3999999999996,26.750666666666664,E0_700m
attack,0.0,E0,800,3510.0,26.66033333333333,E0_800m
attack,0.0,E0,900,3461.6000000000004,26.581333333333333,E0_900m
attack,0.0,E0,1000,3408.4,26.509166666666665,E0_1000m
attack,0.0,E0,1100,3360.0,26.430333333333333,E0_1100m
attack,0.0,E0,1200,3308.0,26.37583333333333,E0_1200m
attack,0.0,E0,1300,3255.6000000000004,26.3165,E0_1300m
attack,0.0,E0,1400,3203.2,26.270666666666664,E0_1400m
attack,0.0,E0,1500,3152.0,26.220333333333336,E0_1500m
attack,0.0,E0,1600,3102.4,26.17533333333333,E0_1600m
attack,0.0,E0,1700,3051.2,26.142000000000003,E0_1700m
attack,0.0,E0,1800,2996.8,26.097333333333335,E0_1800m
attack,0.0,E0,1900,2942.4,26.07416666666667,E0_1900m
attack,0.0,E0,2000,2896.4,26.0715,E0_2000m
attack,0.0,E0,2100,2848.4,26.059499999999996,E0_2100m
attack,0.0,E0,2200,2808.0,26.030499999999996,E0_2200m
attack,0.0,E0,2300,2766.0,26.002499999999998,E0_2300m
attack,0.0,E0,2400,2726.4,25.98166666666667,E0_2400m
attack,0.0,E0,2500,2681.6,25.9475,E0_2500m
attack,0.0,E0,2600,2632.8,25.91783333333333,E0_2600m
attack,0.0,E0,2700,2576.0,25.913333333333327,E0_2700m
attack,0.0,E0,2800,2528.8,25.912,E0_2800m
attack,0.0,E0,2900,2478.0,25.9065,E0_2900m
attack,0.0,E0,3000,2424.0,25.878,E0_3000m
attack,0.0,E0,3100,2373.6000000000004,25.86716666666667,E0_3100m
attack,0.0,E0,3200,2315.6000000000004,25.873499999999993,E0_3200m
attack,0.0,E0,3300,2255.2,25.878999999999998,E0_3300m
attack,0.0,E0,3400,2199.2,25.889,E0_3400m
attack,0.0,E0,3500,2145.2,25.90083333333333,E0_3500m
