interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;2040.00;26.91;E0_0_100m;5.00;170;170;10.53;26.99
0.00;300.00;2244.00;28.67;E0_1_100m;5.00;187;188;10.92;28.81
0.00;300.00;2076.00;26.81;E0_0_200m;5.00;173;173;10.75;26.89
0.00;300.00;2160.00;28.90;E0_1_200m;5.00;180;180;10.38;29.01
0.00;300.00;2028.00;26.65;E0_0_300m;5.00;169;169;10.57;26.74
0.00;300.00;2148.00;28.76;E0_1_300m;5.00;179;179;10.37;28.85
0.00;300.00;1992.00;26.60;E0_0_400m;5.00;166;167;10.40;26.70
0.00;300.00;2112.00;28.66;E0_1_400m;5.00;176;177;10.26;28.75
0.00;300.00;1992.00;26.52;E0_0_500m;5.00;166;166;10.43;26.61
0.00;300.00;2064.00;28.52;E0_1_500m;5.00;172;172;10.05;28.61
0.00;300.00;1932.00;26.41;E0_0_600m;5.00;161;161;10.16;26.50
0.00;300.00;2064.00;28.28;E0_1_600m;5.00;172;172;10.14;28.38
0.00;300.00;1884.00;26.31;E0_0_700m;5.00;157;158;9.98;26.40
0.00;300.00;2064.00;28.09;E0_1_700m;5.00;172;172;10.20;28.20
0.00;300.00;1848.00;26.17;E0_0_800m;5.00;154;154;9.81;26.26
0.00;300.00;2052.00;27.91;E0_1_800m;5.00;171;171;10.21;28.02
0.00;300.00;1776.00;26.04;E0_0_900m;5.00;148;149;9.48;26.13
0.00;300.00;2052.00;27.71;E0_1_900m;5.00;171;171;10.29;27.82
0.00;300.00;1764.00;25.95;E0_0_1000m;5.00;147;147;9.44;26.04
0.00;300.00;2004.00;27.52;E0_1_1000m;5.00;167;168;10.12;27.65
0.00;300.00;1704.00;25.83;E0_0_1100m;5.00;142;142;9.16;25.91
0.00;300.00;2004.00;27.40;E0_1_1100m;5.00;167;167;10.16;27.54
0.00;300.00;1680.00;25.68;E0_0_1200m;5.00;140;140;9.09;25.76
0.00;300.00;1968.00;27.30;E0_1_1200m;5.00;164;164;10.01;27.44
0.00;300.00;1656.00;25.62;E0_0_1300m;5.00;138;139;9.00;25.71
0.00;300.00;1944.00;27.13;E0_1_1300m;5.00;162;162;9.95;27.29
0.00;300.00;1620.00;25.66;E0_0_1400m;5.00;135;135;8.77;25.75
0.00;300.00;1920.00;27.10;E0_1_1400m;5.00;160;161;9.88;27.23
0.00;300.00;1584.00;25.76;E0_0_1500m;5.00;132;133;8.56;25.84
0.00;300.00;1896.00;27.00;E0_1_1500m;5.00;158;158;9.75;27.13
0.00;300.00;1536.00;25.63;E0_0_1600m;5.00;128;128;8.32;25.71
0.00;300.00;1884.00;26.94;E0_1_1600m;5.00;157;157;9.71;27.08
0.00;300.00;1524.00;25.58;E0_0_1700m;5.00;127;127;8.27;25.65
0.00;300.00;1860.00;26.84;E0_1_1700m;5.00;155;155;9.62;26.99
0.00;300.00;1488.00;25.58;E0_0_1800m;5.00;124;125;8.12;25.65
0.00;300.00;1836.00;26.76;E0_1_1800m;5.00;153;153;9.53;26.91
0.00;300.00;1440.00;25.62;E0_0_1900m;5.00;120;121;7.85;25.69
0.00;300.00;1812.00;26.70;E0_1_1900m;5.00;151;151;9.43;26.86
0.00;300.00;1440.00;25.67;E0_0_2000m;5.00;120;120;7.79;25.74
0.00;300.00;1776.00;26.66;E0_1_2000m;5.00;148;148;9.25;26.82
0.00;300.00;1440.00;25.82;E0_0_2100m;5.00;120;121;7.76;25.99
0.00;300.00;1752.00;26.55;E0_1_2100m;5.00;146;147;9.22;26.69
0.00;300.00;1428.00;25.75;E0_0_2200m;5.00;119;119;7.70;25.85
0.00;300.00;1716.00;26.58;E0_1_2200m;5.00;143;143;8.97;26.71
0.00;300.00;1404.00;25.84;E0_0_2300m;5.00;117;118;7.59;25.94
0.00;300.00;1668.00;26.66;E0_1_2300m;5.00;139;140;8.71;26.81
0.00;300.00;1380.00;25.83;E0_0_2400m;5.00;115;115;7.42;25.94
0.00;300.00;1644.00;26.72;E0_1_2400m;5.00;137;137;8.54;26.87
0.00;300.00;1332.00;25.81;E0_0_2500m;5.00;111;111;7.17;25.92
0.00;300.00;1620.00;26.86;E0_1_2500m;5.00;135;135;8.38;27.01
0.00;300.00;1320.00;25.79;E0_0_2600m;5.00;110;110;7.11;25.90
0.00;300.00;1572.00;26.80;E0_1_2600m;5.00;131;131;8.15;26.95
0.00;300.00;1284.00;25.63;E0_0_2700m;5.00;107;107;6.96;25.76
0.00;300.00;1536.00;26.80;E0_1_2700m;5.00;128;128;7.96;26.95
0.00;300.00;1260.00;25.56;E0_0_2800m;5.00;105;105;6.85;25.70
0.00;300.00;1488.00;26.84;E0_1_2800m;5.00;124;124;7.70;27.00
0.00;300.00;1236.00;25.55;E0_0_2900m;5.00;103;103;6.72;25.72
0.00;300.00;1440.00;26.88;E0_1_2900m;5.00;120;120;7.44;27.04
0.00;300.00;1224.00;25.44;E0_0_3000m;5.00;102;102;6.68;25.62
0.00;300.00;1392.00;26.92;E0_1_3000m;5.00;116;116;7.18;27.09
0.00;300.00;1176.00;25.34;E0_0_3100m;5.00;98;98;6.45;25.53
0.00;300.00;1368.00;26.96;E0_1_3100m;5.00;114;114;7.05;27.13
0.00;300.00;1164.00;25.28;E0_0_3200m;5.00;97;97;6.39;25.49
0.00;300.00;1308.00;27.02;E0_1_3200m;5.00;109;109;6.72;27.19
0.00;300.00;1128.00;25.18;E0_0_3300m;5.00;94;95;6.26;25.40
0.00;300.00;1272.00;27.09;E0_1_3300m;5.00;106;106;6.52;27.26
0.00;300.00;1104.00;25.24;E0_0_3400m;5.00;92;92;6.08;25.47
0.00;300.00;1248.00;27.13;E0_1_3400m;5.00;104;104;6.39;27.31
0.00;300.00;1068.00;25.24;E0_0_3500m;5.00;89;89;5.88;25.49
0.00;300.00;1212.00;27.21;E0_1_3500m;5.00;101;101;6.19;27.38
0.00;300.00;1032.00;25.25;E0_0_3600m;5.00;86;86;5.68;25.50
0.00;300.00;1188.00;27.29;E0_1_3600m;5.00;99;99;6.05;27.46
0.00;300.00;1008.00;25.29;E0_0_3700m;5.00;84;84;5.54;25.57
0.00;300.00;1140.00;27.36;E0_1_3700m;5.00;95;95;5.79;27.52
0.00;300.00;984.00;25.28;E0_0_3800m;5.00;82;82;5.41;25.56
0.00;300.00;1104.00;27.51;E0_1_3800m;5.00;92;92;5.57;27.66
0.00;300.00;948.00;25.40;E0_0_3900m;5.00;79;79;5.18;25.69
0.00;300.00;1068.00;27.62;E0_1_3900m;5.00;89;89;5.37;27.78
0.00;300.00;924.00;25.49;E0_0_4000m;5.00;77;77;5.03;25.78
0.00;300.00;1032.00;27.91;E0_1_4000m;5.00;86;86;5.14;28.08
0.00;300.00;924.00;25.61;E0_0_4100m;5.00;77;77;5.01;25.93
0.00;300.00;972.00;28.15;E0_1_4100m;5.00;81;81;4.80;28.34
0.00;300.00;888.00;25.63;E0_0_4200m;5.00;74;74;4.81;25.95
0.00;300.00;948.00;28.43;E0_1_4200m;5.00;79;79;4.63;28.62
0.00;300.00;864.00;25.82;E0_0_4300m;5.00;72;72;4.65;26.15
0.00;300.00;912.00;28.62;E0_1_4300m;5.00;76;76;4.43;28.82
0.00;300.00;828.00;25.68;E0_0_4400m;5.00;69;69;4.48;26.02
0.00;300.00;876.00;28.79;E0_1_4400m;5.00;73;73;4.23;28.95
0.00;300.00;792.00;25.73;E0_0_4500m;5.00;66;66;4.28;26.08
0.00;300.00;840.00;28.95;E0_1_4500m;5.00;70;70;4.03;29.09
0.00;300.00;768.00;25.87;E0_0_4600m;5.00;64;65;4.13;26.23
0.00;300.00;792.00;29.20;E0_1_4600m;5.00;66;66;3.77;29.31
0.00;300.00;720.00;26.08;E0_0_4700m;5.00;60;60;3.83;26.42
0.00;300.00;768.00;29.46;E0_1_4700m;5.00;64;64;3.62;29.55
0.00;300.00;732.00;25.98;E0_0_4800m;5.00;61;61;3.91;26.31
0.00;300.00;744.00;29.65;E0_1_4800m;5.00;62;62;3.49;29.72
0.00;300.00;732.00;26.13;E0_0_4900m;5.00;61;61;3.89;26.48
0.00;300.00;744.00;29.60;E0_1_4900m;5.00;62;62;3.49;29.67
0.00;300.00;708.00;26.18;E0_0_5000m;5.00;59;59;3.76;26.52
0.00;300.00;768.00;29.43;E0_1_5000m;5.00;64;64;3.62;29.50
300.00;600.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;1788.00;25.85;E0_0_100m;5.00;149;149;9.61;26.00
300.00;600.00;2256.00;27.51;E0_1_100m;5.00;188;187;11.33;27.63
300.00;600.00;1848.00;25.83;E0_0_200m;5.00;154;154;9.94;26.00
300.00;600.00;2196.00;27.74;E0_1_200m;5.00;183;183;10.99;27.92
300.00;600.00;1872.00;25.53;E0_0_300m;5.00;156;157;10.24;25.70
300.00;600.00;2184.00;27.49;E0_1_300m;5.00;182;182;11.03;27.67
300.00;600.00;1872.00;25.26;E0_0_400m;5.00;156;155;10.29;25.43
300.00;600.00;2220.00;27.11;E0_1_400m;5.00;185;184;11.35;27.26
300.00;600.00;1860.00;24.93;E0_0_500m;5.00;155;155;10.36;25.12
300.00;600.00;2256.00;26.82;E0_1_500m;5.00;188;188;11.68;26.95
300.00;600.00;1884.00;24.80;E0_0_600m;5.00;157;157;10.55;24.99
300.00;600.00;2268.00;26.57;E0_1_600m;5.00;189;189;11.85;26.71
300.00;600.00;1908.00;24.47;E0_0_700m;5.00;159;158;10.79;24.68
300.00;600.00;2244.00;26.37;E0_1_700m;5.00;187;187;11.82;26.52
300.00;600.00;1908.00;24.36;E0_0_800m;5.00;159;159;10.88;24.58
300.00;600.00;2244.00;26.17;E0_1_800m;5.00;187;187;11.91;26.34
300.00;600.00;1932.00;24.31;E0_0_900m;5.00;161;160;11.03;24.52
300.00;600.00;2256.00;26.01;E0_1_900m;5.00;188;188;12.05;26.18
300.00;600.00;1896.00;24.52;E0_0_1000m;5.00;158;159;10.75;24.70
300.00;600.00;2280.00;25.83;E0_1_1000m;5.00;190;189;12.25;26.00
300.00;600.00;1932.00;24.44;E0_0_1100m;5.00;161;161;10.98;24.61
300.00;600.00;2268.00;25.76;E0_1_1100m;5.00;189;189;12.23;25.92
300.00;600.00;1908.00;24.44;E0_0_1200m;5.00;159;159;10.84;24.60
300.00;600.00;2280.00;25.73;E0_1_1200m;5.00;190;190;12.31;25.88
300.00;600.00;1908.00;24.38;E0_0_1300m;5.00;159;159;10.87;24.53
300.00;600.00;2292.00;25.73;E0_1_1300m;5.00;191;191;12.37;25.86
300.00;600.00;1872.00;24.36;E0_0_1400m;5.00;156;156;10.67;24.51
300.00;600.00;2316.00;25.72;E0_1_1400m;5.00;193;192;12.46;25.85
300.00;600.00;1872.00;24.32;E0_0_1500m;5.00;156;155;10.67;24.47
300.00;600.00;2292.00;25.82;E0_1_1500m;5.00;191;192;12.35;25.93
300.00;600.00;1848.00;24.36;E0_0_1600m;5.00;154;155;10.59;24.50
