interval_begin;interval_end;interval_flow;interval_harmonicMeanSpeed;interval_id;interval_length;interval_nVehContrib;interval_nVehEntered;interval_occupancy;interval_speed
0.00;300.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
0.00;300.00;1692.00;27.01;E0_0_100m;5.00;141;141;8.70;27.09
0.00;300.00;2004.00;28.38;E0_1_100m;5.00;167;168;9.86;28.51
0.00;300.00;1680.00;26.83;E0_0_200m;5.00;140;140;8.70;26.92
0.00;300.00;1980.00;28.49;E0_1_200m;5.00;165;165;9.65;28.65
0.00;300.00;1656.00;26.78;E0_0_300m;5.00;138;139;8.59;26.86
0.00;300.00;1992.00;28.22;E0_1_300m;5.00;166;166;9.81;28.42
0.00;300.00;1608.00;26.66;E0_0_400m;5.00;134;134;8.38;26.74
0.00;300.00;1992.00;28.11;E0_1_400m;5.00;166;166;9.84;28.29
0.00;300.00;1572.00;26.52;E0_0_500m;5.00;131;131;8.23;26.60
0.00;300.00;1980.00;27.97;E0_1_500m;5.00;165;165;9.83;28.16
0.00;300.00;1560.00;26.44;E0_0_600m;5.00;130;130;8.19;26.54
0.00;300.00;1944.00;27.91;E0_1_600m;5.00;162;163;9.70;28.08
0.00;300.00;1524.00;26.31;E0_0_700m;5.00;127;127;8.05;26.40
0.00;300.00;1944.00;27.77;E0_1_700m;5.00;162;162;9.72;27.94
0.00;300.00;1500.00;26.22;E0_0_800m;5.00;125;125;7.94;26.32
0.00;300.00;1896.00;27.65;E0_1_800m;5.00;158;158;9.52;27.81
0.00;300.00;1476.00;26.11;E0_0_900m;5.00;123;123;7.85;26.21
0.00;300.00;1908.00;27.58;E0_1_900m;5.00;159;159;9.61;27.76
0.00;300.00;1440.00;25.92;E0_0_1000m;5.00;120;120;7.72;26.02
0.00;300.00;1884.00;27.39;E0_1_1000m;5.00;157;157;9.55;27.57
0.00;300.00;1404.00;25.75;E0_0_1100m;5.00;117;117;7.57;25.86
0.00;300.00;1860.00;27.16;E0_1_1100m;5.00;155;155;9.51;27.34
0.00;300.00;1368.00;25.70;E0_0_1200m;5.00;114;114;7.39;25.80
0.00;300.00;1848.00;26.93;E0_1_1200m;5.00;154;154;9.53;27.09
0.00;300.00;1344.00;25.57;E0_0_1300m;5.00;112;112;7.30;25.64
0.00;300.00;1812.00;26.66;E0_1_1300m;5.00;151;151;9.44;26.81
0.00;300.00;1356.00;25.42;E0_0_1400m;5.00;113;113;7.41;25.49
0.00;300.00;1788.00;26.39;E0_1_1400m;5.00;149;149;9.41;26.53
0.00;300.00;1356.00;25.23;E0_0_1500m;5.00;113;113;7.46;25.29
0.00;300.00;1752.00;26.14;E0_1_1500m;5.00;146;146;9.31;26.28
0.00;300.00;1332.00;25.22;E0_0_1600m;5.00;111;111;7.33;25.34
0.00;300.00;1704.00;25.83;E0_1_1600m;5.00;142;142;9.16;25.94
0.00;300.00;1308.00;25.34;E0_0_1700m;5.00;109;109;7.17;25.46
0.00;300.00;1680.00;25.72;E0_1_1700m;5.00;140;140;9.07;25.85
0.00;300.00;1296.00;25.25;E0_0_1800m;5.00;108;108;7.13;25.38
0.00;300.00;1644.00;25.71;E0_1_1800m;5.00;137;137;8.88;25.86
0.00;300.00;1272.00;25.24;E0_0_1900m;5.00;106;106;7.00;25.37
0.00;300.00;1608.00;25.76;E0_1_1900m;5.00;134;134;8.67;25.93
0.00;300.00;1260.00;25.15;E0_0_2000m;5.00;105;105;6.96;25.28
0.00;300.00;1572.00;25.77;E0_1_2000m;5.00;131;131;8.47;25.93
0.00;300.00;1236.00;25.11;E0_0_2100m;5.00;103;103;6.84;25.24
0.00;300.00;1524.00;25.74;E0_1_2100m;5.00;127;127;8.22;25.89
0.00;300.00;1248.00;25.10;E0_0_2200m;5.00;104;104;6.90;25.24
0.00;300.00;1512.00;25.55;E0_1_2200m;5.00;126;126;8.22;25.66
0.00;300.00;1248.00;25.06;E0_0_2300m;5.00;104;104;6.92;25.22
0.00;300.00;1512.00;25.46;E0_1_2300m;5.00;126;126;8.25;25.57
0.00;300.00;1236.00;24.87;E0_0_2400m;5.00;103;103;6.90;25.03
0.00;300.00;1512.00;25.46;E0_1_2400m;5.00;126;126;8.25;25.56
0.00;300.00;1236.00;24.69;E0_0_2500m;5.00;103;103;6.95;24.83
0.00;300.00;1476.00;25.41;E0_1_2500m;5.00;123;123;8.07;25.52
0.00;300.00;1212.00;24.65;E0_0_2600m;5.00;101;101;6.83;24.80
0.00;300.00;1440.00;25.24;E0_1_2600m;5.00;120;120;7.92;25.35
0.00;300.00;1176.00;24.75;E0_0_2700m;5.00;98;98;6.60;24.88
0.00;300.00;1404.00;25.18;E0_1_2700m;5.00;117;117;7.74;25.30
0.00;300.00;1152.00;24.78;E0_0_2800m;5.00;96;96;6.46;24.92
0.00;300.00;1368.00;25.16;E0_1_2800m;5.00;114;114;7.55;25.28
0.00;300.00;1128.00;24.70;E0_0_2900m;5.00;94;94;6.34;24.83
0.00;300.00;1332.00;25.15;E0_1_2900m;5.00;111;111;7.36;25.27
0.00;300.00;1092.00;24.63;E0_0_3000m;5.00;91;91;6.16;24.76
0.00;300.00;1308.00;25.15;E0_1_3000m;5.00;109;109;7.22;25.27
0.00;300.00;1080.00;24.63;E0_0_3100m;5.00;90;90;6.09;24.78
0.00;300.00;1260.00;25.12;E0_1_3100m;5.00;105;105;6.97;25.24
0.00;300.00;1068.00;24.64;E0_0_3200m;5.00;89;89;6.02;24.79
0.00;300.00;1212.00;25.11;E0_1_3200m;5.00;101;101;6.70;25.23
0.00;300.00;1032.00;24.58;E0_0_3300m;5.00;86;87;5.89;24.73
0.00;300.00;1176.00;25.10;E0_1_3300m;5.00;98;98;6.51;25.21
0.00;300.00;1020.00;24.74;E0_0_3400m;5.00;85;85;5.73;24.90
0.00;300.00;1140.00;25.11;E0_1_3400m;5.00;95;95;6.30;25.22
0.00;300.00;984.00;24.86;E0_0_3500m;5.00;82;82;5.50;25.03
0.00;300.00;1104.00;25.13;E0_1_3500m;5.00;92;92;6.10;25.24
0.00;300.00;948.00;24.91;E0_0_3600m;5.00;79;79;5.28;25.09
0.00;300.00;1068.00;25.17;E0_1_3600m;5.00;89;89;5.89;25.27
0.00;300.00;900.00;25.11;E0_0_3700m;5.00;75;75;4.98;25.26
0.00;300.00;1044.00;25.23;E0_1_3700m;5.00;87;87;5.75;25.33
0.00;300.00;864.00;25.13;E0_0_3800m;5.00;72;72;4.77;25.29
0.00;300.00;1008.00;25.30;E0_1_3800m;5.00;84;84;5.53;25.40
0.00;300.00;828.00;25.03;E0_0_3900m;5.00;69;69;4.59;25.20
0.00;300.00;972.00;25.38;E0_1_3900m;5.00;81;81;5.32;25.48
0.00;300.00;792.00;25.29;E0_0_4000m;5.00;66;67;4.36;25.46
0.00;300.00;936.00;25.49;E0_1_4000m;5.00;78;78;5.10;25.60
0.00;300.00;780.00;25.43;E0_0_4100m;5.00;65;66;4.29;25.59
0.00;300.00;888.00;25.67;E0_1_4100m;5.00;74;75;4.85;25.77
0.00;300.00;768.00;25.64;E0_0_4200m;5.00;64;64;4.16;25.79
0.00;300.00;852.00;25.86;E0_1_4200m;5.00;71;72;4.60;25.96
0.00;300.00;720.00;25.92;E0_0_4300m;5.00;60;61;3.93;26.08
0.00;300.00;816.00;26.08;E0_1_4300m;5.00;68;69;4.35;26.18
0.00;300.00;708.00;25.98;E0_0_4400m;5.00;59;59;3.79;26.13
0.00;300.00;768.00;26.31;E0_1_4400m;5.00;64;64;4.05;26.40
0.00;300.00;684.00;25.93;E0_0_4500m;5.00;57;57;3.66;26.09
0.00;300.00;720.00;26.64;E0_1_4500m;5.00;60;60;3.75;26.72
0.00;300.00;636.00;26.08;E0_0_4600m;5.00;53;54;3.45;26.23
0.00;300.00;696.00;26.80;E0_1_4600m;5.00;58;58;3.61;26.86
0.00;300.00;636.00;26.00;E0_0_4700m;5.00;53;53;3.40;26.15
0.00;300.00;684.00;26.74;E0_1_4700m;5.00;57;57;3.55;26.79
0.00;300.00;636.00;25.93;E0_0_4800m;5.00;53;53;3.41;26.08
0.00;300.00;684.00;26.66;E0_1_4800m;5.00;57;57;3.56;26.71
0.00;300.00;636.00;25.80;E0_0_4900m;5.00;53;53;3.42;25.96
0.00;300.00;684.00;26.61;E0_1_4900m;5.00;57;57;3.57;26.66
0.00;300.00;648.00;25.80;E0_0_5000m;5.00;54;54;3.49;25.95
0.00;300.00;672.00;26.57;E0_1_5000m;5.00;56;56;3.51;26.62
300.00;600.00;0.00;-1.00;E0_0_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;0.00;-1.00;E0_1_0m;-1.00;0;0;0.00;-1.00
300.00;600.00;1728.00;27.12;E0_0_100m;5.00;144;145;8.89;27.25
300.00;600.00;2052.00;28.66;E0_1_100m;5.00;171;170;9.89;28.82
300.00;600.00;1728.00;27.18;E0_0_200m;5.00;144;144;8.83;27.32
300.00;600.00;2052.00;28.85;E0_1_200m;5.00;171;171;9.88;29.03
300.00;600.00;1704.00;27.13;E0_0_300m;5.00;142;142;8.72;27.26
300.00;600.00;2028.00;28.82;E0_1_300m;5.00;169;169;9.77;28.98
300.00;600.00;1692.00;27.06;E0_0_400m;5.00;141;141;8.69;27.19
300.00;600.00;2040.00;28.79;E0_1_400m;5.00;170;170;9.84;28.96
300.00;600.00;1704.00;27.03;E0_0_500m;5.00;142;142;8.76;27.15
300.00;600.00;2028.00;28.64;E0_1_500m;5.00;169;169;9.83;28.81
300.00;600.00;1692.00;26.80;E0_0_600m;5.00;141;141;8.77;26.91
300.00;600.00;2052.00;28.46;E0_1_600m;5.00;171;171;10.01;28.62
300.00;600.00;1704.00;26.78;E0_0_700m;5.00;142;142;8.84;26.88
300.00;600.00;2040.00;28.40;E0_1_700m;5.00;170;170;9.98;28.55
300.00;600.00;1704.00;26.70;E0_0_800m;5.00;142;143;8.89;26.82
300.00;600.00;2076.00;28.33;E0_1_800m;5.00;173;173;10.18;28.47
300.00;600.00;1680.00;26.65;E0_0_900m;5.00;140;140;8.76;26.76
300.00;600.00;2100.00;28.21;E0_1_900m;5.00;175;175;10.34;28.35
300.00;600.00;1680.00;26.63;E0_0_1000m;5.00;140;140;8.76;26.74
300.00;600.00;2112.00;28.11;E0_1_1000m;5.00;176;176;10.44;28.25
300.00;600.00;1716.00;26.55;E0_0_1100m;5.00;143;144;9.01;26.69
300.00;600.00;2076.00;28.01;E0_1_1100m;5.00;173;173;10.29;28.15
300.00;600.00;1752.00;26.50;E0_0_1200m;5.00;146;146;9.18;26.63
300.00;600.00;2064.00;27.95;E0_1_1200m;5.00;172;172;10.26;28.09
300.00;600.00;1728.00;26.34;E0_0_1300m;5.00;144;144;9.11;26.48
300.00;600.00;2100.00;27.90;E0_1_1300m;5.00;175;175;10.45;28.04
300.00;600.00;1692.00;26.28;E0_0_1400m;5.00;141;141;8.94;26.43
300.00;600.00;2076.00;27.91;E0_1_1400m;5.00;173;173;10.33;28.06
300.00;600.00;1656.00;26.28;E0_0_1500m;5.00;138;138;8.75;26.41
300.00;600.00;2088.00;27.97;E0_1_1500m;5.00;174;174;10.37;28.13
300.00;600.00;1692.00;26.24;E0_0_1600m;5.00;141;141;8.95;26.37
