scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,0.0,E0_0_0m,0.0,-1.0
attack,0.0,E0_0_1000m,1538.4,25.747666666666667
attack,0.0,E0_0_100m,1773.2,26.738
attack,0.0,E0_0_1100m,1512.0,25.681333333333335
attack,0.0,E0_0_1200m,1484.0,25.637999999999995
attack,0.0,E0_0_1300m,1459.2,25.577666666666666
attack,0.0,E0_0_1400m,1436.4,25.558666666666664
attack,0.0,E0_0_1500m,1414.0,25.51566666666667
attack,0.0,E0_0_1600m,1390.4,25.474
attack,0.0,E0_0_1700m,1367.6,25.43366666666667
attack,0.0,E0_0_1800m,1342.0,25.39166666666667
attack,0.0,E0_0_1900m,1318.0,25.355
attack,0.0,E0_0_2000m,1298.0,25.345999999999997
attack,0.0,E0_0_200m,1776.4,26.510999999999992
attack,0.0,E0_0_2100m,1277.2,25.34033333333333
attack,0.0,E0_0_2200m,1259.6,25.314999999999998
attack,0.0,E0_0_2300m,1241.2,25.296333333333337
attack,0.0,E0_0_2400m,1223.2,25.274
attack,0.0,E0_0_2500m,1203.6,25.238333333333333
attack,0.0,E0_0_2600m,1180.8,25.20933333333333
attack,0.0,E0_0_2700m,1156.8,25.204999999999995
attack,0.0,E0_0_2800m,1141.6,25.228333333333335
attack,0.0,E0_0_2900m,1120.8,25.217999999999996
attack,0.0,E0_0_3000m,1099.2,25.184333333333335
attack,0.0,E0_0_300m,1748.4,26.372666666666664
attack,0.0,E0_0_3100m,1081.2,25.173
attack,0.0,E0_0_3200m,1058.4,25.17466666666666
attack,0.0,E0_0_3300m,1028.0,25.17733333333333
attack,0.0,E0_0_3400m,1004.0,25.187666666666665
attack,0.0,E0_0_3500m,981.2,25.220000000000002
attack,0.0,E0_0_3600m,957.6,25.249000000000006
attack,0.0,E0_0_3700m,925.2,25.301666666666666
attack,0.0,E0_0_3800m,903.6,25.308666666666664
attack,0.0,E0_0_3900m,876.4,25.363666666666667
attack,0.0,E0_0_4000m,853.2,25.426333333333336
attack,0.0,E0_0_400m,1711.2,26.247666666666664
attack,0.0,E0_0_4100m,828.8,25.496333333333336
attack,0.0,E0_0_4200m,810.0,25.544
attack,0.0,E0_0_4300m,787.6,25.648666666666664
attack,0.0,E0_0_4400m,764.0,25.67566666666666
