Scenario,Seed,WallClock (s)
attack,5498,2252.588891506195
attack,21911,2394.9977276325226
attack,3485,2406.506339788437
attack,16079,2313.6950674057007
attack,2858,2351.297040939331
base,5498,581.7717294692993
base,21911,605.7596476078033
base,3485,600.1674561500549
base,16079,578.3628690242767
base,2858,606.1865746974945
