Scenario,Seed,WallClock (s)
attack,6185,2142.3755252361298
attack,14024,1862.3614156246185
attack,4310,1923.9744355678558
base,6185,722.4065141677856
base,14024,728.4738125801086
base,4310,1233.666252374649
